active_ingredient,causal_class,p_catch_up_growth,p_puberty_suppression,p_delayed_puberty,p_aromatase_inhibition,p_growth_hormone_cotreatment,p_nutritional_recovery,p_weight_gain,p_disease_remission,p_glucocorticoid_withdrawal,p_thyroid_correction,p_oedema,p_measurement_artifact,p_oncology_survival_bias,p_reporting_publicity,p_duplicate_reports,p_pathological_growth,p_chronic_disease_growth_failure_indication,p_no_final_height,penalty_score
RIBAVIRIN,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
PEGASPARGASE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
DAUNORUBICIN,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
PIPERACILLIN,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
MEROPENEM,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
MERCAPTOPURINE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
VANCOMYCIN,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
VINCRISTINE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
CYTARABINE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,True,16.5
METHOTREXATE,PATHOLOGICAL_OVERGROWTH,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,20.5
LORATADINE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,True,17.0
HYDROCORTISONE,PATHOLOGICAL_OVERGROWTH,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,21.5
ASCORBIC ACID,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,True,True,18.5
ESTRADIOL,REJECT,False,False,False,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,20.5
CYCLOPHOSPHAMIDE,REJECT,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,True,20.5
ONDANSETRON,REJECT,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,21.5
VITAMIN D NOS,REJECT,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,True,21.5
LEVOTHYROXINE,PATHOLOGICAL_OVERGROWTH,True,True,True,False,True,True,True,True,True,False,False,False,False,True,False,True,True,False,30.0
ACETAMINOPHEN,REJECT,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,True,23.0
