active_ingredient,paediatric_growth_cases,paediatric_cases_all_events,suspect_role_growth_cases,suspect_fraction,role_mix,ror,ror_lo95,ror_hi95,prr,prr_lo95,information_component,ic025_shrunk,signal_by_ic025,age_median,age_min,age_max,sex_mix,reporter_mix,physician_reported_fraction,country_mix,fda_year_mix,top_indications,top_comedications,co_growth_hormone,co_aromatase_inhibitor,co_puberty_blocker,co_sex_steroid,co_glucocorticoid,co_thyroid,endocrine_comedication_case_fraction,positive_dechallenge,negative_dechallenge,positive_rechallenge,negative_rechallenge,serious_outcome_cases,negative_control_term_cases,negative_to_positive_ratio,control_role
METFORMIN,4,356,4,1.0,primary suspect (3); secondary suspect (2),6.946,2.71,17.804,6.872,2.712,1.952,-0.989,False,0.0,0.0,0.0,M (4),unknown (4),0.0,EU (4),2026 (4),INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8); DIABETIC NEPHROPATHY (4),SEMAGLUTIDE (4); RAMIPRIL (4); EBASTINE (4); BECLOMETHASONE DIPROPIONATE (4),0,0,0,0,0,0,0.0,0,0,0,0,4,6,1.5,
EBASTINE,4,39,4,1.0,secondary suspect (5),69.197,25.673,186.508,61.525,25.456,2.974,-0.993,False,0.0,0.0,0.0,M (4),unknown (4),0.0,EU (4),2026 (4),INSULIN-REQUIRING TYPE 2 DIABETES MELLITUS (8); ASTHMA (8); DIABETIC NEPHROPATHY (4),SEMAGLUTIDE (4); METFORMIN (4); RAMIPRIL (4); BECLOMETHASONE DIPROPIONATE (4),0,0,0,0,0,0,0.0,0,0,0,0,4,0,0.0,
RIBAVIRIN,4,21,4,1.0,secondary suspect (4),140.396,49.32,399.659,111.884,48.457,3.061,-1.014,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,0,0.0,
PEGASPARGASE,4,408,4,1.0,secondary suspect (4),6.05,2.362,15.495,5.995,2.365,1.836,-1.014,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); CASPOFUNGIN (4),0,0,0,0,4,0,1.0,0,0,0,0,4,0,0.0,
DAUNORUBICIN,4,444,4,1.0,secondary suspect (4),5.554,2.169,14.218,5.508,2.172,1.762,-1.032,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4); CASPOFUNGIN (4),0,0,0,0,4,0,1.0,0,0,0,0,4,0,0.0,
PIPERACILLIN,4,504,4,1.0,secondary suspect (11),4.885,1.909,12.499,4.85,1.911,1.645,-1.063,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); MEROPENEM (4); AMPHOTERICIN B (4); PEGASPARGASE (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
LORATADINE,4,547,0,0.0,concomitant (4),4.497,1.758,11.501,4.468,1.76,1.567,-1.087,False,3.5,2.0,13.0,M (3); F (1),unknown (4),0.0,CO (3); US (1),2025 (2); 2026 (1); 2024 (1),PREMEDICATION (5); MUCOPOLYSACCHARIDOSIS II (3); PROPHYLAXIS (2); DERMATITIS ATOPIC (1),IDURSULFASE (3); ACETAMINOPHEN (2); PREDNISOLONE (1); HYDROCORTISONE (1); OSELTAMIVIR (1); LEVOCETIRIZINE DIHYDROCHLORIDE (1),0,0,0,0,3,0,0.5,0,0,0,0,3,5,1.25,
ONDANSETRON,5,1216,1,0.2,concomitant (4); secondary suspect (1),2.462,1.052,5.763,2.456,1.053,0.992,-1.093,False,11.0,1.0,14.0,M (3); F (2),unknown (4); consumer (1),0.0,CO (2); US (2); TH (1),2026 (3); 2025 (1); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (31); SHORT-BOWEL SYNDROME (3); APLASTIC ANAEMIA (1); WOUND TREATMENT (1),LOPERAMIDE (4); TEDUGLUTIDE (3); URSODIOL (2); ERGOCALCIFEROL (2); METRONIDAZOLE (2); ACETAMINOPHEN (2),0,0,1,0,2,1,0.4,0,0,0,0,5,10,2.0,
MEROPENEM,4,593,4,1.0,secondary suspect (8),4.144,1.621,10.596,4.12,1.623,1.488,-1.112,False,6.0,6.0,6.0,F (4),physician (4),1.0,SK (4),2024 (4),PRODUCT USED FOR UNKNOWN INDICATION (24); FEBRILE NEUTROPENIA (19); ANTIBIOTIC THERAPY (15); ACUTE LYMPHOCYTIC LEUKAEMIA (10),VANCOMYCIN (4); DAUNORUBICIN (4); CYCLOPHOSPHAMIDE (4); AMPHOTERICIN B (4); PEGASPARGASE (4); CASPOFUNGIN (4),0,0,0,0,4,0,1.0,0,0,0,0,4,1,0.25,
HYDROCORTISONE,5,1259,2,0.4,concomitant (3); primary suspect (2); secondary suspect (2),2.377,1.016,5.562,2.371,1.017,0.951,-1.114,False,2.0,0.0,11.0,M (4); F (1),unknown (2); consumer (2); physician (1),0.2,CO (2); EU (2); US (1),2026 (2); 2025 (2); 2024 (1),PRODUCT USED FOR UNKNOWN INDICATION (11); PREMEDICATION (6); PITUITARY TUMOUR BENIGN (3); MUCOPOLYSACCHARIDOSIS II (2),IDURSULFASE (2); LEVOTHYROXINE (2); ACETAMINOPHEN (2); LORATADINE (1); PREDNISOLONE (1); MOMETASONE FUROATE (1),0,0,1,0,2,2,0.8,1,0,0,0,5,22,4.4,
