gene,ensembl_id,n_mouse_phenotypes,expression_source,top_expressing_tissues,n_tissues_measured,n_tissues_with_expression,expression_is_broad,mouse_cancer,n_mouse_cancer,human_disease_cancer,mouse_vascular,n_mouse_vascular,human_disease_vascular,mouse_cardiac,n_mouse_cardiac,human_disease_cardiac,mouse_blood_pressure,n_mouse_blood_pressure,human_disease_blood_pressure,mouse_organ_overgrowth,n_mouse_organ_overgrowth,human_disease_organ_overgrowth,mouse_muscle_growth,n_mouse_muscle_growth,human_disease_muscle_growth,mouse_insulin_resistance,n_mouse_insulin_resistance,human_disease_insulin_resistance,mouse_metabolic,n_mouse_metabolic,human_disease_metabolic,mouse_renal,n_mouse_renal,human_disease_renal,mouse_retinal,n_mouse_retinal,human_disease_retinal,mouse_puberty,n_mouse_puberty,human_disease_puberty,mouse_reproductive,n_mouse_reproductive,human_disease_reproductive,mouse_skeletal_off-target,n_mouse_skeletal_off-target,human_disease_skeletal_off-target,mouse_lethality,n_mouse_lethality,human_disease_lethality
STC2,ENSG00000113739,7,"GTEx v8 median TPM (54 tissues, ENSG00000113739.10)",Cells Cultured fibroblasts (165 TPM); Breast Mammary Tissue (44 TPM); Cells EBV-transformed lymphocytes (18 TPM); Spleen (16 TPM); Lung (12 TPM); Pancreas (11 TPM); Thyroid (11 TPM); Skin Sun Exposed Lower leg (10 TPM),54,38,True,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,small testis,1,,,0,,,0,
NPR3,ENSG00000113389,77,"GTEx v8 median TPM (54 tissues, ENSG00000113389.15)",Artery Aorta (16 TPM); Lung (13 TPM); Kidney Cortex (11 TPM); Cells Cultured fibroblasts (11 TPM); Adipose Subcutaneous (10 TPM); Thyroid (9 TPM); Artery Tibial (9 TPM); Artery Coronary (8 TPM),54,31,True,,0,,,0,cardiovascular disorder,,0,,hypotension,1,Increased blood pressure; essential hypertension,,0,,,0,,,0,,abnormal abdominal fat pad morphology; abnormal adipose tissue distribution; abnormal adipose tissue morphology; abnormal interscapular fat pad morphology; decreased brown fat cell lipid droplet size; decreased epididymal fat pad weight,10,,abnormal urine nucleotide level; decreased urine osmolality,2,,,0,,delayed bone ossification; delayed endochondral bone ossification,2,,abnormal testis morphology; reduced fertility; small testis,3,,abnormal osteoclast morphology; increased bone mineral content; increased osteoblast cell number,3,,"postnatal lethality, incomplete penetrance; premature death",2,
PAPPA,ENSG00000182752,21,"GTEx v8 median TPM (54 tissues, ENSG00000182752.9)",Cells Cultured fibroblasts (62 TPM); Cervix Endocervix (7 TPM); Cervix Ectocervix (7 TPM); Adipose Visceral Omentum (5 TPM); Uterus (5 TPM); Artery Aorta (4 TPM); Vagina (4 TPM); Kidney Medulla (4 TPM),54,31,True,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,delayed bone ossification,1,,decreased ovary weight; reduced female fertility; small ovary,3,,decreased bone mineral content; decreased bone mineral density; decreased bone mineral density of femur,3,,,0,
PAPPA2,ENSG00000116183,20,"GTEx v8 median TPM (54 tissues, ENSG00000116183.10)",Kidney Medulla (4 TPM); Cervix Ectocervix (4 TPM); Kidney Cortex (4 TPM); Cervix Endocervix (3 TPM); Breast Mammary Tissue (2 TPM); Cells Cultured fibroblasts (2 TPM); Pituitary (1 TPM); Brain Cerebellar Hemisphere (1 TPM),54,7,False,,0,,,0,,increased heart weight,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,
NPR2,ENSG00000159899,105,"GTEx v8 median TPM (54 tissues, ENSG00000159899.14)",Cervix Ectocervix (78 TPM); Artery Aorta (67 TPM); Brain Cerebellum (64 TPM); Cervix Endocervix (61 TPM); Uterus (61 TPM); Brain Cerebellar Hemisphere (58 TPM); Nerve Tibial (42 TPM); Fallopian Tube (41 TPM),54,53,True,,0,,,0,,,0,,,0,,enlarged interparietal bone; enlarged parietal bone,2,,impaired muscle relaxation,1,,,0,,,0,,,0,,,0,,abnormal endochondral bone ossification; absent estrous cycle,2,,female infertility; reduced fertility; reduced male fertility; small ovary,4,,,0,,"decreased survivor rate; embryonic lethality, incomplete penetrance; postnatal lethality, incomplete penetrance; premature death; preweaning lethality, incomplete penetrance",5,
