pert_iname,broad_id,InChIKey,pubchem_cid,smiles,vendor,catalog_no,vendor_name,purity,expected_mass,clinical_phase,moa,primary_target,family_primary,role,concentration_basis,potency_nM,range_finding_low_nM,range_finding_high_nM,n_concentrations_required,format,wells_needed_range_finding,wells_needed_primary,notes
lesinurad,BRD-K75024268-001-02-9,FGQFOYHRJSUHMR-UHFFFAOYSA-N,53465279.0,OC(=O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,MedChemEx,HY-15258,Lesinurad,99.19,402.999,Launched,uric acid diuretic,SLC22A12,transporter,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
lorlatinib,BRD-K99879819-001-02-1,IIXWYSCJSQVBQM-UHFFFAOYSA-N,78162481.0,C[C@H]1Oc2cc(cnc2N)-c2c(CN(C)C(=O)c3ccc(F)cc13)nn(C)c2C#N,MedChemEx,HY-12215,"(R)-2(6)-amino-5(5)-fluoro-1(1),4,7-trimethyl-6-oxo-1(1)H-3-oxa-7-aza-2(3,5)-pyridina-1(4,3)-pyrazola-5(1,2)-benzenacyclooctaphane-1(5)-carbonitrile",98.73,406.155,Launched,ALK tyrosine kinase receptor inhibitor,ALK,kinase,discovery compound,primary potency (Guide to Pharmacology),0.005,0.015,0.15,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
maprotiline,BRD-K03319035-003-18-9,QSLMDECMDJKHMQ-GSXCWMCISA-N,,CNCCC[C@@]12CC[C@@H](c3ccccc13)c1ccccc21 |r|,Tocris,935,Maprotiline hydrochloride,98.66,277.183,Launched,norepinephrine reputake inhibitor|tricyclic antidepressant,SLC6A2,transporter,discovery compound,primary potency (Guide to Pharmacology),1584.893,4754.679,47546.79,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
metolazone,BRD-A61793559-001-17-9,AQCHWTWZEMGIFD-JTQLQIEISA-N,28125490.0,"C[C@H]1Nc2cc(Cl)c(cc2C(=O)N1c1ccccc1C)S(N)(=O)=O |&1:1,r|",MedChemEx,HY-B0209,Metolazone,97.76,365.06,Launched,carbonic anhydrase inhibitor,SLC12A3,transporter,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
phenylbutyrate,BRD-K67102207-236-07-7,OBKXEAXTFZPCHS-UHFFFAOYSA-N,4775.0,OC(=O)CCCc1ccccc1,Tocris,2682,Sodium 4-Phenylbutyrate,97.03,164.084,Launched,HDAC inhibitor,HDAC1,epigenetic (selective probe),discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
sodium-stibogluconate,BRD-K00003543-412-01-9,RPOBPHCDIPHDQL-XCCFGPONSA-L,,[H][C@@]1(O[Sb]2(O)(O[Sb]34(O)O[C@H]([C@@H](O3)[C@]([H])(O4)[C@H](O)CO)C(O)=O)O[C@H]([C@H]1O2)C(O)=O)[C@H](O)CO,MedChemEx,HY-100595,Stibogluconate (sodium),0.0,677.878,Launched,tyrosine phosphatase inhibitor,PTPN6,phosphatase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
tacrolimus,BRD-K69608737-001-08-6,QJJXYPPXXYFBGM-LFZNUXCKSA-N,445643.0,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC |t:45|,MedChemEx,HY-13756,tacrolimus,97.24,803.482,Launched,calcineurin inhibitor,FKBP1A,phosphatase,discovery compound,primary potency (Guide to Pharmacology),0.398,1.194,11.94,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
tazemetostat,BRD-K11215326-001-03-7,NSQSAUGJQHDYNO-UHFFFAOYSA-N,66558664.0,CCN(C1CCOCC1)c1cc(cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)-c1ccc(CN2CCOCC2)cc1,Selleck,S7128,EPZ-6438 (E7438),93.46,572.336,Launched,histone lysine methyltransferase inhibitor,EZH2,epigenetic (selective probe),discovery compound,primary potency (Guide to Pharmacology),10.0,30.0,300.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
trapidil,BRD-K95763993-001-20-9,GSNOZLZNQMLSKJ-UHFFFAOYSA-N,5531.0,CCN(CC)c1cc(C)nc2ncnn12,MedChemEx,HY-B1016,Trapidil,98.72,205.133,Launched,PDGFR tyrosine kinase receptor inhibitor,PDGFRA,kinase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
halofuginone,BRD-K54247840-004-01-3,LVASCWIMLIKXLA-CABCVRRESA-N,456390.0,O[C@H]1CCCN[C@@H]1CC(=O)Cn1cnc2cc(Br)c(Cl)cc2c1=O,EMDBio,505763-10MG,"ProRS Inhibitor, Halofuginone",95.58,413.014,Launched,collagenase inhibitor,COL1A1,matrix remodeling,discovery compound,primary potency (Guide to Pharmacology),0.794,2.382,23.82,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
mycophenolate-mofetil,BRD-K92428153-001-04-4,RTGDFNSFWBGLEC-SYZQJQIISA-N,5281078.0,COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)CCC(=O)OCCN1CCOCC1,Selleck,S1501,Mycophenolate Mofetil,95.21,433.21,Launched,dehydrogenase inhibitor|inositol monophosphatase inhibitor,IMPDH1,phosphatase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
pirfenidone,BRD-K96862998-001-15-5,ISWRGOKTTBVCFA-UHFFFAOYSA-N,40632.0,Cc1ccc(=O)n(c1)-c1ccccc1,Tocris,1093,Pirfenidone,97.6,185.084,Launched,TGF beta receptor inhibitor,FURIN,growth factor / cytokine,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
menadione,BRD-K78126613-001-28-5,MJVAVZPDRWSRRC-UHFFFAOYSA-N,4055.0,CC1=CC(=O)c2ccccc2C1=O |t:1|,MicroSource,1502254,MENADIONE,98.17,172.052,Launched,mitochondrial DNA polymerase inhibitor|phosphatase inhibitor,AOX1,phosphatase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
retinol,BRD-K22429181-001-15-9,FPIPGXGPPPQFEQ-OVSJKPMPSA-N,445354.0,C\C(=C/CO)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C |c:12|,Sigma,MFCD00001552,retinol,0.0,286.23,Launched,retinoid receptor ligand,ALDH1A1,mechanotransduction,discovery compound,primary potency (Guide to Pharmacology),19952.623,59857.869,598578.69,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
futibatinib,BRD-K00003392-001-01-9,KEIPNCCJPRMIAX-HNNXBMFYSA-N,71621331.0,COc1cc(OC)cc(c1)C#Cc1nn([C@H]2CCN(C2)C(=O)C=C)c2ncnc(N)c12,MedChemEx,HY-100818,Futibatinib,96.33,418.175,Phase 3,FGFR inhibitor,,growth factor / cytokine,ASSAY CONTROL ONLY - canonical pathway,primary potency (Guide to Pharmacology),1.0,3.0,30.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,ASSAY CONTROL ONLY - excluded from novelty ranking
abametapir,BRD-K65498798-001-01-7,PTRATZCAGVBFIQ-UHFFFAOYSA-N,15664.0,Cc1ccc(nc1)-c1ccc(C)cn1,Sigma,MFCD01740554,"5,5'-dimethyl-2,2'-bipyridine",92.8,184.1,Phase 3,metalloproteinase inhibitor,MMP9,protease,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
aloxistatin,BRD-K91188791-001-17-5,SRVFFFJZQVENJC-IHRRRGAJSA-N,65663.0,CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,MedChemEx,HY-100229,Aloxistatin,86.09,342.215,Phase 3,protease inhibitor,CTSG,protease,discovery compound,primary potency (Guide to Pharmacology),1000.0,3000.0,30000.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
itacitinib,BRD-K67482377-001-01-8,KTBSXLIQKWEBRB-UHFFFAOYSA-N,53380437.0,Fc1c(ccnc1C(F)(F)F)C(=O)N1CCC(CC1)N1CC(CC#N)(C1)n1cc(cn1)-c1ncnc2[nH]ccc12,MedChemEx,HY-16997,Itacitinib,96.98,553.196,Phase 3,JAK inhibitor,JAK1,kinase,discovery compound,primary potency (Guide to Pharmacology),5.012,15.036,150.36,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
odanacatib,BRD-K22822991-001-02-3,FWIVDMJALNEADT-SFTDATJTSA-N,10152654.0,CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1(CC1)C#N,Selleck,S1115,Odanacatib (MK-0822),98.17,525.171,Phase 3,cathepsin inhibitor,CTSK,protease,discovery compound,primary potency (Guide to Pharmacology),0.2,0.6,6.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
omecamtiv-mecarbil,BRD-K36680103-001-02-9,RFUBTTPMWSKEIW-UHFFFAOYSA-N,11689883.0,COC(=O)N1CCN(Cc2cccc(NC(=O)Nc3ccc(C)nc3)c2F)CC1,MedChemEx,HY-14233,Omecamtiv mecarbil,96.1,401.186,Phase 3,cardiac myosin activator,MYBPC3,mechanotransduction,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
cilengitide,BRD-K57252450-001-02-5,AMLYAMJWYAIXIA-VWNVYAMZSA-N,176873.0,CC(C)[C@@H]1N(C)C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CCCNC(N)=N)NC1=O,Selleck,S7077,Cilengitide,96.22,588.302,Phase 3,integrin antagonist,ITGAV,mechanotransduction,discovery compound,primary potency (Guide to Pharmacology),3.162,9.486,94.86,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
pevonedistat,BRD-K67844266-003-01-9,MPUQHZXIXSTTDU-QXGSTGNESA-N,16720766.0,NS(=O)(=O)OC[C@@H]1C[C@H](C[C@@H]1O)n1ccc2c(N[C@H]3CCc4ccccc34)ncnc12,MedChemEx,HY-10484,MLN4924 (hydrochloride),94.15,443.163,Phase 3,nedd activating enzyme inhibitor,NAE1,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
bis(maltolato)oxovanadium(IV),BRD-K16180792-001-01-7,XUOLEICXAPEOSI-UHFFFAOYSA-L,3035454.0,Cc1occc(=O)c1O[V](=O)Oc1c(C)occc1=O,Carbosynth,FB18735,2-methyl-3-((2-methyl-4-oxo-4H-pyran-3-yloxy)(oxo)vanadiooxy)-4H-pyran-4-one,79.05,316.987,Phase 2,tyrosine phosphatase inhibitor,PTPN1,phosphatase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
CPI-0610,BRD-K19871656-001-01-3,GCWIQUVXWZWCLE-INIZCTEOSA-N,57389999.0,Cc1noc2[C@H](CC(N)=O)N=C(c3ccc(Cl)cc3)c3ccccc3-c12 |t:10|,MedChemEx,HY-12863,CPI-0610,99.18,365.093,Phase 2,bromodomain inhibitor,BRD4,epigenetic (selective probe),discovery compound,primary potency (Guide to Pharmacology),39.811,119.433,1194.33,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
firategrast,BRD-K17513304-001-01-9,YLFZHHDVRSYTKT-NRFANRHFSA-N,9935681.0,CCOCc1cc(OC)c(c(OC)c1)-c1ccc(C[C@H](NC(=O)c2c(F)cccc2F)C(O)=O)cc1,MedChemEx,HY-14951,Firategrast,99.31,499.181,Phase 2,integrin antagonist,ITGA4,mechanotransduction,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
F351,BRD-K41267922-001-01-4,NETTXQJYJRFTFS-UHFFFAOYSA-N,11217901.0,Cc1ccc(=O)n(c1)-c1ccc(O)cc1,Carbosynth,FH24467,1-(4-hydroxyphenyl)-5-methyl-2(1H)-pyridinone,95.15,201.079,Phase 2,TGF beta receptor inhibitor,TGFB1,growth factor / cytokine,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
STA-5326,BRD-K41783120-001-02-8,HSKAZIJJKRAJAV-KOEQRZSOSA-N,10173277.0,Cc1cccc(\C=N\Nc2cc(nc(OCCc3ccccn3)n2)N2CCOCC2)c1,MedChemEx,HY-14644,Apilimod,98.13,418.212,Phase 2,interleukin synthesis inhibitor,IL12A,growth factor / cytokine,discovery compound,primary potency (Guide to Pharmacology),63.096,189.288,1892.88,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
BMS-587101,BRD-K20093108-001-02-3,NXNKJLOEGWSJGI-BKMJKUGQSA-N,11635371.0,CN1C(=O)N(C(=O)[C@]11CN(Cc2cc(cs2)C(O)=O)C[C@H]1c1ccc(cc1)C#N)c1cc(Cl)cc(Cl)c1,Key,HE-0001,"5-{[(5S,9R)-9-(4-cyanophenyl)-3-(3,5-dichlorophenyl)-1-methyl-2,4-dioxo-1,3,7-triazaspiro[4.4]non-7-yl]methyl}-3-thiophenecarboxylic acid",92.65,554.058,Phase 2,integrin antagonist,ITGAL,mechanotransduction,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
EW-7197,BRD-K74396648-001-01-4,FJCDSQATIJKQKA-UHFFFAOYSA-N,54766013.0,Cc1cccc(n1)-c1nc(CNc2ccccc2F)[nH]c1-c1ccc2ncnn2c1,Selleck,S7530,EW-7197,89.86,399.161,Phase 2,TGF beta receptor inhibitor,ACVR1B,growth factor / cytokine,discovery compound,primary potency (Guide to Pharmacology),10.0,30.0,300.0,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
trofinetide,BRD-K83502127-001-01-6,JJGBXTYGTKWGAT-YUMQZZPRSA-N,3080768.0,NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(O)=O,Sigma,MFCD00144405,(2S)-2-({[(2S)-1-(aminoacetyl)-2-pyrrolidinyl]carbonyl}amino)pentanedioic acid,44.1,301.127,Phase 2,cytokine production inhibitor,IFNG,growth factor / cytokine,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
ATN-161,BRD-K00521308-019-01-9,MMHDBUJXLOFTLC-WOYTXXSLSA-N,9960285.0,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(N)=O)C(N)=O,MedChemEx,HY-13535A,ATN-161 (trifluoroacetate salt),93.15,597.233,Phase 2,integrin antagonist,ITGA5,mechanotransduction,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
VLX600,BRD-K26122255-001-01-7,UQOSBPRTQFFUOA-UHFFFAOYSA-N,6806409.0,CC(=NNc1nnc2c(n1)[nH]c1c(C)cccc21)c1ccccn1,Enamine,EN300-395210,"(1Z)-1-(2-pyridinyl)ethanone (6-methyl-5H-[1,2,4]triazino[5,6-b]indol-3-yl)hydrazone",87.51,317.139,Phase 1,antitumor agent|ubiquitin C-terminal hydrolase inhibitor,TP53,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
hypoestoxide,BRD-K13881745-001-01-1,HNPAHGHFONBTLV-KSJQNFQUSA-N,11199742.0,CC(=O)O[C@@H]1C[C@]2(C)O[C@H]2CC[C@]2(C)O[C@H]2C[C@@H]2CC(=O)C(=C)[C@@H]1C2(C)C,EMD,401006-1MG,Hypoestoxide,87.38,376.225,Phase 1,IKK inhibitor,IKBKB,growth factor / cytokine,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
latrunculin-B,BRD-K61292460-001-03-1,NSHPHXHGRHSMIK-JRIKCGFMSA-N,6436219.0,"C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]2CSC(=O)N2)OC(=O)\C=C(C)/CC\C=C/1 |c:27,t:22|",EMD,428020-1MG,Latrunculin B,68.21,395.177,Phase 1,actin polymerization inhibitor,ACTA1,mechanotransduction,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
alexidine,BRD-A42335949-300-10-6,LFVVNPBBFUSSHL-SZPZYZBQSA-N,40488318.0,"CCCC[C@H](CC)CNC(=N)N=C(N)NCCCCCCNC(N)=NC(=N)NC[C@H](CC)CCCC |&1:29,&2:4,&3:11,&4:24,w:11.10,24.24|",Selleck,S4302,Alexidine HCl,91.99,508.469,Preclinical,phosphatidylglycerophosphatase inhibitor,PTPMT1,phosphatase,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
AS-1949490,BRD-K61936403-001-01-7,RFZPGNRLOKVZJY-AWEZNQCLSA-N,44473434.0,C[C@H](NC(=O)c1sccc1OCc1ccc(Cl)cc1)c1ccccc1,Tocris,3718,AS 1949490,98.99,371.075,Preclinical,SHIP2 phosphatase inhibitor,INPP5D,phosphatase,discovery compound,primary potency (Guide to Pharmacology),630.957,1892.871,18928.71,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
DG-172,BRD-K75748943-300-02-9,ZJMDTBBCNMGFMS-SAPNQHFASA-N,57342889.0,CN1CCN(CC1)c1ccc(\C=C(/C#N)c2ccccc2Br)cc1,Tocris,5566,DG 172 dihydrochloride,87.99,381.084,Preclinical,PPAR receptor inverse agonist,PPARD,nuclear receptor,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
IU1,BRD-K45841694-001-11-7,JUWDSDKJBMFLHE-UHFFFAOYSA-N,675434.0,Cc1cc(C(=O)CN2CCCC2)c(C)n1-c1ccc(F)cc1,Selleck,S7134,IU1,87.3,300.164,Preclinical,ubiquitin C-terminal hydrolase inhibitor,USP14,ubiquitin system,discovery compound,primary potency (Guide to Pharmacology),5011.872,15035.616,150356.16,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
NAB-2,BRD-K36804890-001-02-9,CZSLEMCYYGEGKP-UHFFFAOYSA-N,82017756.0,Cc1ccc(C)c(c1)-n1cnc2cc(ccc12)C(=O)NCc1ccccc1Cl,Tocris,5131,NAB 2,98.33,389.129,Preclinical,ubiquitin ligase transport promoter,NEDD4,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
SMER-28,BRD-K08478539-001-06-2,BCPOLXUSCUFDGE-UHFFFAOYSA-N,1560402.0,Brc1ccc2ncnc(NCC=C)c2c1,Sigma,S8197,SMER28,100.0,263.006,Preclinical,autophagy inducer,SNCA,lysosomal / autophagy,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
SP-141,BRD-K28571773-001-02-9,AABFWJDLCCDJJN-UHFFFAOYSA-N,59620153.0,COc1ccc2[nH]c3c(nccc3c2c1)-c1cccc2ccccc12,Tocris,5332,SP 141,97.08,324.126,Preclinical,ubiquitin ligase inhibitor,MDM2,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
GS-143,BRD-K99916169-001-01-9,IZPMWFSVTDOCDI-HAVVHWLPSA-N,121513876.0,OC(=O)c1ccc(cc1)N1N=C(Cc2ccccc2)\C(=C/c2ccc(o2)-c2ccccc2F)C1=O |t:11|,Tocris,5636,GS 143,67.28,466.133,Preclinical,ubiquitin ligase inhibitor,BTRC,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
GW-3965,BRD-K33818169-003-04-6,NAXSRXHZFIBFMI-UHFFFAOYSA-N,72199895.0,OC(=O)Cc1cccc(OCCCN(CC(c2ccccc2)c2ccccc2)Cc2cccc(c2Cl)C(F)(F)F)c1,Tocris,2474,GW 3965 hydrochloride,98.12,581.194,Preclinical,LXR agonist,NR1H2,nuclear receptor,discovery compound,primary potency (Guide to Pharmacology),199.526,598.578,5985.78,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
spautin-1,BRD-K84964099-001-03-9,AWIVHRPYFSSVOG-UHFFFAOYSA-N,51037431.0,Fc1ccc(CNc2ncnc3ccc(F)cc23)cc1,Tocris,5197,Spautin 1,98.0,271.092,Preclinical,deubiquitinase inhibitor,USP10,ubiquitin system,discovery compound,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,discovery compound
T-0901317,BRD-K23383398-001-09-9,SGIWFELWJPNFDH-UHFFFAOYSA-N,447912.0,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F,Tocris,2373,T 0901317,96.75,481.039,Preclinical,LXR agonist,NCOA1,nuclear receptor,discovery compound,primary potency (Guide to Pharmacology),50.119,150.357,1503.57,3,"10 mM DMSO stock, 1 mg minimum",9,6,discovery compound
pralmorelin,BRD-K00004629-001-01-9,HRNLPPBUBKMZMT-RDRUQFPZSA-N,6918245.0,C[C@@H](N)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,Sigma,SML2056,"(2S,5R,8S,11S,14R,17R)-17-amino-2-(4-aminobutyl)-5-benzyl-8-(1H-indol-3-ylmethyl)-11-methyl-14-(2-naphthylmethyl)-4,7,10,13,16-pentaoxo-3,6,9,12,15-pentaazaoctadecan-1-amide",91.62,817.428,Launched,growth hormone releasing peptide ligand agonist,,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,primary potency (Guide to Pharmacology),0.501,1.503,15.03,3,"10 mM DMSO stock, 1 mg minimum",9,6,ASSAY CONTROL ONLY - excluded from novelty ranking
glasdegib,BRD-K34341643-001-02-9,SFNSLLSYNZWZQG-VQIMIIECSA-N,25166913.0,CN1CC[C@H](C[C@@H]1c1nc2ccccc2[nH]1)NC(=O)Nc1ccc(cc1)C#N,MedChemEx,HY-16391,Glasdegib,96.0,374.186,Launched,hedgehog pathway inhibitor,SMO,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,primary potency (Guide to Pharmacology),5.012,15.036,150.36,3,"10 mM DMSO stock, 1 mg minimum",9,6,ASSAY CONTROL ONLY - excluded from novelty ranking
FK-409,BRD-K00005243-001-01-9,MZAGXDHQGXUDDX-FGCOBAPNSA-N,94621715.0,"CC\C(=C/C(=N/O)/C(N)=O)[C@@H](C)[N+]([O-])=O |&1:10,r|",Sigma,E2895,NOR-3,100.0,215.091,Phase 2,guanylyl cyclase activator,,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,ASSAY CONTROL ONLY - excluded from novelty ranking
DY131,BRD-K58343622-001-01-6,WLKOCYWYAWBGKY-CPNJWEJPSA-N,5497124.0,CCN(CC)c1ccc(\C=N\NC(=O)c2ccc(O)cc2)cc1,Tocris,2266,DY131,88.82,311.163,Preclinical,estrogen-related receptor agonist,ESRRB,GPCR,ASSAY CONTROL ONLY - canonical pathway,primary potency (Guide to Pharmacology),630.957,1892.871,18928.71,3,"10 mM DMSO stock, 1 mg minimum",9,6,ASSAY CONTROL ONLY - excluded from novelty ranking
neuropathiazol,BRD-K28567778-001-02-7,MGKYEWWFHSESJN-UHFFFAOYSA-N,11667240.0,CCOC(=O)c1ccc(cc1)N(C)c1csc(n1)-c1ccccc1,Tocris,5186,Neuropathiazol,83.16,338.109,Preclinical,neural stem cell inducer,BMP2,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,RANGE_FINDING_REQUIRED - no primary potency retrievable,,,,5,"10 mM DMSO stock, 1 mg minimum",15,6,ASSAY CONTROL ONLY - excluded from novelty ranking
