active_ingredient,fda_growth_reports,fda_ic025,fda_ror,fda_signal,control_role,independent_database,ca_growth_reports,ca_reports_all_events,ca_suspect_growth_reports,ca_ror,ca_ror_lo95,ca_ror_hi95,ca_ic025,direction_replicates,classification,note,eudravigilance,who_vigibase,pmda,tga
LEVOTHYROXINE,7,-0.298,5.819,False,,Canada Vigilance (Health Canada),0,116,0,8.186,0.495,135.405,-5.665,False,TOO_SPARSE,present in 116 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
DORNASE ALFA,6,-0.338,13.331,False,,Canada Vigilance (Health Canada),0,1,0,637.313,25.335,16031.999,-5.655,False,TOO_SPARSE,present in 1 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ALBUTEROL,10,-0.354,2.777,False,,Canada Vigilance (Health Canada),0,3,0,273.122,13.74,5429.031,-5.655,False,TOO_SPARSE,present in 3 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ENOXAPARIN,5,-0.619,10.814,False,,Canada Vigilance (Health Canada),1,162,0,18.45,3.516,96.826,-3.001,False,TOO_SPARSE,present in 162 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CETIRIZINE,8,-0.623,2.502,False,,Canada Vigilance (Health Canada),1,279,0,10.672,2.04,55.839,-2.993,False,TOO_SPARSE,present in 279 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
PREDNISOLONE,8,-0.644,2.434,False,NEGATIVE_CONTROL,Canada Vigilance (Health Canada),0,173,0,5.49,0.333,90.635,-5.674,False,TOO_SPARSE,present in 173 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
AMPHOTERICIN B,5,-0.752,5.236,False,,Canada Vigilance (Health Canada),0,126,0,7.537,0.456,124.617,-5.666,False,TOO_SPARSE,present in 126 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
FLUCONAZOLE,5,-0.759,5.11,False,,Canada Vigilance (Health Canada),0,401,0,2.361,0.143,38.887,-5.724,False,TOO_SPARSE,present in 401 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
OMEPRAZOLE,5,-0.827,4.208,False,,Canada Vigilance (Health Canada),0,268,0,3.54,0.215,58.366,-5.692,False,TOO_SPARSE,present in 268 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
SEMAGLUTIDE,4,-0.941,18.521,False,,Canada Vigilance (Health Canada),0,2,0,382.38,17.891,8172.721,-5.655,False,TOO_SPARSE,present in 2 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
POSACONAZOLE,4,-0.943,11.761,False,,Canada Vigilance (Health Canada),0,24,0,39.0,2.306,659.471,-5.656,False,TOO_SPARSE,present in 24 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
DESMOPRESSIN,4,-0.945,21.069,False,,Canada Vigilance (Health Canada),1,67,0,44.899,8.469,238.047,-3.016,False,TOO_SPARSE,present in 67 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CASPOFUNGIN,4,-0.948,10.41,False,,Canada Vigilance (Health Canada),0,77,0,12.315,0.742,204.318,-5.661,False,TOO_SPARSE,present in 77 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
LEUCOVORIN,4,-0.949,10.236,False,,Canada Vigilance (Health Canada),1,153,0,19.543,3.722,102.604,-3.002,False,TOO_SPARSE,present in 153 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
AMIKACIN,4,-0.957,9.196,False,,Canada Vigilance (Health Canada),0,15,0,61.657,3.588,1059.46,-5.656,False,TOO_SPARSE,present in 15 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
RAMIPRIL,4,-0.977,45.907,False,,Canada Vigilance (Health Canada),0,39,0,24.182,1.445,404.617,-5.657,False,TOO_SPARSE,present in 39 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
METFORMIN,4,-0.989,6.946,False,,Canada Vigilance (Health Canada),0,76,0,12.476,0.752,207.017,-5.66,False,TOO_SPARSE,present in 76 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
EBASTINE,4,-0.993,69.197,False,,Canada Vigilance (Health Canada),0,9,0,100.611,5.697,1776.819,-5.656,False,TOO_SPARSE,present in 9 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
RIBAVIRIN,4,-1.014,140.396,False,,Canada Vigilance (Health Canada),0,1,0,637.313,25.335,16031.999,-5.655,False,TOO_SPARSE,present in 1 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
PEGASPARGASE,4,-1.014,6.05,False,,Canada Vigilance (Health Canada),0,85,0,11.161,0.673,185.016,-5.661,False,TOO_SPARSE,present in 85 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
DAUNORUBICIN,4,-1.032,5.554,False,,Canada Vigilance (Health Canada),0,63,0,15.035,0.904,249.924,-5.659,False,TOO_SPARSE,present in 63 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
PIPERACILLIN,4,-1.063,4.885,False,,Canada Vigilance (Health Canada),0,2,0,382.38,17.891,8172.721,-5.655,False,TOO_SPARSE,present in 2 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
LORATADINE,4,-1.087,4.497,False,,Canada Vigilance (Health Canada),0,33,0,28.517,1.699,478.624,-5.657,False,TOO_SPARSE,present in 33 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ONDANSETRON,5,-1.093,2.462,False,,Canada Vigilance (Health Canada),1,1418,0,2.046,0.392,10.667,-3.152,False,TOO_SPARSE,present in 1418 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
MEROPENEM,4,-1.112,4.144,False,,Canada Vigilance (Health Canada),0,155,0,6.128,0.371,101.211,-5.671,False,TOO_SPARSE,present in 155 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
HYDROCORTISONE,5,-1.114,2.377,False,,Canada Vigilance (Health Canada),1,1025,1,2.855,0.547,14.891,-3.074,False,TOO_SPARSE,present in 1025 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ACETAMINOPHEN,9,-1.152,1.219,False,,Canada Vigilance (Health Canada),3,2181,0,3.338,1.078,10.338,-1.575,False,TOO_SPARSE,no signal in either database at this count,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
MERCAPTOPURINE,4,-1.207,3.224,False,,Canada Vigilance (Health Canada),1,654,0,4.512,0.864,23.549,-3.016,False,TOO_SPARSE,present in 654 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
VANCOMYCIN,4,-1.326,2.518,False,,Canada Vigilance (Health Canada),1,475,0,6.238,1.194,32.58,-2.998,False,TOO_SPARSE,present in 475 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ESTRADIOL,3,-1.397,29.001,False,,Canada Vigilance (Health Canada),1,28,0,108.665,20.002,590.34,-3.025,False,TOO_SPARSE,present in 28 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CERTOLIZUMAB PEGOL,3,-1.398,29.915,False,,Canada Vigilance (Health Canada),0,31,0,30.329,1.805,509.692,-5.657,False,TOO_SPARSE,present in 31 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ASCORBIC ACID,3,-1.4,7.06,False,,Canada Vigilance (Health Canada),0,2,0,382.38,17.891,8172.721,-5.655,False,TOO_SPARSE,present in 2 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CHOLESTYRAMINE,3,-1.41,39.998,False,,Canada Vigilance (Health Canada),0,12,0,76.46,4.403,1327.602,-5.656,False,TOO_SPARSE,present in 12 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
BUDESONIDE,4,-1.418,2.139,False,NEGATIVE_CONTROL,Canada Vigilance (Health Canada),0,178,0,5.335,0.323,88.077,-5.675,False,TOO_SPARSE,present in 178 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CIPROFLOXACIN,3,-1.44,5.268,False,,Canada Vigilance (Health Canada),0,192,0,4.946,0.3,81.624,-5.677,False,TOO_SPARSE,present in 192 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
ESTROGENS,3,-1.443,131.072,False,,Canada Vigilance (Health Canada),0,3,0,273.122,13.74,5429.031,-5.655,False,TOO_SPARSE,present in 3 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
PREDNISONE,6,-1.455,1.222,False,NEGATIVE_CONTROL,Canada Vigilance (Health Canada),2,3192,0,1.52,0.411,5.618,-2.407,False,TOO_SPARSE,present in 3192 paediatric Canadian reports but only 2 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
VINCRISTINE,5,-1.482,1.424,False,,Canada Vigilance (Health Canada),0,242,0,3.922,0.238,64.677,-5.687,False,TOO_SPARSE,present in 242 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
RISPERIDONE,4,-1.504,1.863,False,,Canada Vigilance (Health Canada),0,289,0,3.282,0.199,54.097,-5.697,False,TOO_SPARSE,present in 289 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
VITAMIN D NOS,3,-1.506,3.937,False,,Canada Vigilance (Health Canada),0,0,0,,,,,False,TOO_SPARSE,the active ingredient does not appear in any paediatric Canada Vigilance report,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
URSODIOL,3,-1.514,3.817,False,,Canada Vigilance (Health Canada),0,86,0,11.032,0.666,182.856,-5.662,False,TOO_SPARSE,present in 86 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CHLORIDE,4,-1.606,1.605,False,,Canada Vigilance (Health Canada),0,0,0,,,,,False,TOO_SPARSE,the active ingredient does not appear in any paediatric Canada Vigilance report,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CYTARABINE,4,-1.622,1.568,False,,Canada Vigilance (Health Canada),0,300,0,3.161,0.192,52.1,-5.699,False,TOO_SPARSE,present in 300 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
VITAMINS,3,-1.685,2.422,False,,Canada Vigilance (Health Canada),0,36,0,26.171,1.562,438.523,-5.657,False,TOO_SPARSE,present in 36 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CYCLOPHOSPHAMIDE,5,-1.724,1.074,False,,Canada Vigilance (Health Canada),1,1358,0,2.139,0.41,11.153,-3.139,False,TOO_SPARSE,present in 1358 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
CHOLECALCIFEROL,3,-2.074,1.266,False,,Canada Vigilance (Health Canada),0,381,0,2.485,0.151,40.947,-5.719,False,TOO_SPARSE,present in 381 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
METHOTREXATE,4,-2.398,0.646,False,,Canada Vigilance (Health Canada),1,2867,0,0.979,0.188,5.104,-3.457,False,TOO_SPARSE,present in 2867 paediatric Canadian reports but only 1 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
SOMATROPIN,7,-2.839,0.294,False,POSITIVE_CONTROL,Canada Vigilance (Health Canada),3,365,3,20.874,6.713,64.906,-1.382,False,TOO_SPARSE,no signal in either database at this count,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
DUPILUMAB,4,-4.756,0.075,False,,Canada Vigilance (Health Canada),0,34,0,27.69,1.651,464.467,-5.657,False,TOO_SPARSE,present in 34 paediatric Canadian reports but only 0 carry a growth term - below the 3-case floor for any statistic,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE,NOT_ACCESSIBLE
