concept,concept_class,meddra_preferred_term,match_source,verification,reports_all_ages,reports_paediatric,usable_paediatrically,note
fracture,NEGATIVE_CONTROL,FRACTURE DEBRIDEMENT,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE DELAYED UNION,FAERS REAC vocabulary + concept regex,VERIFIED,25,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE INFECTION,FAERS REAC vocabulary + concept regex,VERIFIED,18,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE MALUNION,FAERS REAC vocabulary + concept regex,VERIFIED,9,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE OF PENIS,FAERS REAC vocabulary + concept regex,VERIFIED,54,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE PAIN,FAERS REAC vocabulary + concept regex,VERIFIED,73,0,False,
fracture,NEGATIVE_CONTROL,FRACTURE TREATMENT,FAERS REAC vocabulary + concept regex,VERIFIED,6,0,False,
fracture,NEGATIVE_CONTROL,FRACTURED SKULL DEPRESSED,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,GREENSTICK FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
fracture,NEGATIVE_CONTROL,IMPACTED FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,LISFRANC FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,6,0,False,
fracture,NEGATIVE_CONTROL,LOSS OF ANATOMICAL ALIGNMENT AFTER FRACTURE REDUCTION,FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
fracture,NEGATIVE_CONTROL,LUMBAR VERTEBRAL FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,465,0,False,
fracture,NEGATIVE_CONTROL,METAPHYSEAL CORNER FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,OPEN REDUCTION OF FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,OSTEOCHONDRAL FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
fracture,NEGATIVE_CONTROL,OSTEOPHYTE FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
fracture,NEGATIVE_CONTROL,PATHOLOGICAL TOOTH FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,2,0,False,
fracture,NEGATIVE_CONTROL,PERIPROSTHETIC FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,45,0,False,
fracture,NEGATIVE_CONTROL,PSEUDOFRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,5,0,False,
fracture,NEGATIVE_CONTROL,SACROILIAC FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,7,0,False,
fracture,NEGATIVE_CONTROL,SCAPULA FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,30,0,False,
fracture,NEGATIVE_CONTROL,SPINAL FUSION FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,3,0,False,
fracture,NEGATIVE_CONTROL,STERNAL FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,127,0,False,
fracture,NEGATIVE_CONTROL,THORACIC VERTEBRAL FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,311,0,False,
fracture,NEGATIVE_CONTROL,TRAUMATIC FRACTURE,FAERS REAC vocabulary + concept regex,VERIFIED,57,0,False,
growth retardation,NEGATIVE_CONTROL,GROWTH RETARDATION,FAERS REAC vocabulary + concept regex,VERIFIED,233,121,True,
limb deformity,NEGATIVE_CONTROL,SCOLIOSIS,FAERS REAC vocabulary + concept regex,VERIFIED,439,86,True,
limb deformity,NEGATIVE_CONTROL,LIMB DEFORMITY,FAERS REAC vocabulary + concept regex,VERIFIED,94,12,True,
limb deformity,NEGATIVE_CONTROL,SCOLIOSIS SURGERY,FAERS REAC vocabulary + concept regex,VERIFIED,8,5,True,
limb deformity,NEGATIVE_CONTROL,BONE DEFORMITY,FAERS REAC vocabulary + concept regex,VERIFIED,37,3,True,
limb deformity,NEGATIVE_CONTROL,CONGENITAL SCOLIOSIS,FAERS REAC vocabulary + concept regex,VERIFIED,1,1,False,
limb deformity,NEGATIVE_CONTROL,KYPHOSCOLIOSIS,FAERS REAC vocabulary + concept regex,VERIFIED,15,1,False,
limb deformity,NEGATIVE_CONTROL,NEUROMUSCULAR SCOLIOSIS,FAERS REAC vocabulary + concept regex,VERIFIED,2,1,False,
limb deformity,NEGATIVE_CONTROL,MUSCULOSKELETAL DEFORMITY,FAERS REAC vocabulary + concept regex,VERIFIED,7,0,False,
physeal injury,NEGATIVE_CONTROL,EPIPHYSEAL DISORDER,FAERS REAC vocabulary + concept regex,VERIFIED,4,2,False,
physeal injury,NEGATIVE_CONTROL,EPIPHYSEAL INJURY,FAERS REAC vocabulary + concept regex,VERIFIED,2,1,False,
premature epiphyseal closure,NEGATIVE_CONTROL,EPIPHYSES PREMATURE FUSION,FAERS REAC vocabulary + concept regex,VERIFIED,17,8,True,
premature epiphyseal closure,NEGATIVE_CONTROL,DUCTUS ARTERIOSUS PREMATURE CLOSURE,FAERS REAC vocabulary + concept regex,VERIFIED,42,2,False,
short stature,NEGATIVE_CONTROL,SHORT STATURE,FAERS REAC vocabulary + concept regex,VERIFIED,67,41,True,
short stature,NEGATIVE_CONTROL,BODY HEIGHT DECREASED,FAERS REAC vocabulary + concept regex,VERIFIED,499,25,True,
short stature,NEGATIVE_CONTROL,DWARFISM,FAERS REAC vocabulary + concept regex,VERIFIED,2,1,False,
bone length increased,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
delayed epiphyseal closure,POSITIVE,EPIPHYSES DELAYED FUSION,FAERS REAC vocabulary + concept regex,VERIFIED,5,3,True,
delayed skeletal maturation,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
disproportionate overgrowth,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
epiphyseal widening,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
gigantism,POSITIVE,ACROMEGALY,FAERS REAC vocabulary + concept regex,VERIFIED,19,5,True,
gigantism,POSITIVE,FAMILIAL ACROMEGALY,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
gigantism,POSITIVE,GIGANTISM,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
growth accelerated,POSITIVE,GROWTH ACCELERATED,FAERS REAC vocabulary + concept regex,VERIFIED,10,3,True,
growth plate widening,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
height increased,POSITIVE,BODY HEIGHT INCREASED,FAERS REAC vocabulary + concept regex,VERIFIED,201,114,True,
increased growth velocity,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
increased shoe/hand/limb size,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
limb overgrowth,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
linear growth increased,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
macrosomia with postnatal growth,POSITIVE,FOETAL MACROSOMIA,FAERS REAC vocabulary + concept regex,VERIFIED,44,13,True,
macrosomia with postnatal growth,POSITIVE,LARGE FOR DATES BABY,FAERS REAC vocabulary + concept regex,VERIFIED,42,6,True,
macrosomia with postnatal growth,POSITIVE,MACROSOMIA,FAERS REAC vocabulary + concept regex,VERIFIED,6,0,False,
physeal widening,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
prolonged adolescent growth,POSITIVE,DELAYED PUBERTY,FAERS REAC vocabulary + concept regex,VERIFIED,14,7,True,
skeletal overgrowth,POSITIVE,OVERGROWTH BACTERIAL,FAERS REAC vocabulary + concept regex,VERIFIED,42,8,True,
skeletal overgrowth,POSITIVE,OVERGROWTH FUNGAL,FAERS REAC vocabulary + concept regex,VERIFIED,15,2,False,
skeletal overgrowth,POSITIVE,OVERGROWTH SYNDROME,FAERS REAC vocabulary + concept regex,VERIFIED,1,0,False,
tall stature,POSITIVE,,FAERS REAC vocabulary + concept regex,NO_TERM_FOUND,0,0,False,no term coded in any FAERS report matches this concept; it cannot be searched in this database
