mouse_gene,crispr_tier,CRISPR_CAUSAL,crispr_in_secondary_library,crispr_lfc_primary_D4,crispr_lfc_primary_D15,crispr_lfc_secondary_D4,crispr_lfc_secondary_D15,crispr_max_abs_lfc,crispr_guide_consistency_D15,crispr_guide_FDR_D15,crispr_d4_concordant,crispr_cross_library_agree,crispr_effect_class,crispr_direction,human_gene,ortholog_one2one,ortholog_type,fg_young_tibia_lfc,fg_tibia_vs_phalanx_lfc,fg_young_tibia_FDR,fg_tibia_vs_phalanx_FDR,fg_PZ_vs_HZ_lfc,fg_zone_bias,fg_rat_concordant,FAST_GROWTH,fg_score,mouse_zone_top,mouse_zone_specificity,human_zone_top,human_zone_specificity,human_zonal_detected,human_mouse_zone_concordant,height_n_loci,height_n_studies,height_neglog10p,HEIGHT_GWAS,cd200_D4_log2FC,cd200_D4_FDR,cd200_D15_log2FC,cd200_D15_FDR,maturation_slope,maturation_slope_FDR,sc_GSE125464_top_state,sc_GSE125464_max_expr,sc_GSE201605_top_state,sc_GSE201605_max_expr,sc_GSE231795_top_state,sc_GSE231795_max_expr,sc_GSE244881_top_state,sc_GSE244881_max_expr,sc_GSE271634_top_state,sc_GSE271634_max_expr,sc_GSE288529_top_state,sc_GSE288529_max_expr,sc_GSE76157_top_state,sc_GSE76157_max_expr,sc_consensus_state,sc_n_datasets_agree,sc_n_datasets_detected,sc_expr_max,pert_Dnmt1cKO_log2FC,pert_Dnmt1cKO_FDR,pert_Idh1mut_log2FC,pert_Idh1mut_FDR,pert_Adamts17KO_log2FC,pert_Adamts17KO_FDR,pert_STAT3KD_log2FC,pert_STAT3KD_FDR,pert_n_significant,gp_specificity_score,human_ensembl,sc_crispr,sc_fastgrowth,sc_height,sc_human_zonal,sc_gp_specificity,sc_perturbation,screen_effect,inhibitor_effect_on_maturation,desired_intervention_direction,plate_exhaustion_risk,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds,pubmed_total,pubmed_growthplate,obscurity_ratio,n_cancer_hallmarks,hallmark_labels,is_tumour_suppressor,is_oncogene,_annotated,TRACTABLE,tractable_class,sc_tractability,n_compounds,n_direction_matched,has_direction_matched_compound,n_direct_compounds,n_approved,best_pchembl,any_oral,any_black_box,any_withdrawn,strongest_compound,COMPOUND_MAPPED,sc_compound,sc_exposure,pen_essentiality,pen_safety,plate_disorganising_phenotype,pen_development,pen_plate_exhaustion,BLACKLIST,blacklist_reasons,SORT_MARKER_ARTIFACT,EXCLUDED_OBVIOUS,score_positive,score_penalty,total_score,novelty_growthplate_papers
BC004004,,False,False,-0.06213,0.67475,,,0.67475,1.0,0.22227,False,False,KO_promotes_maturation,1.0,C6orf89,True,ortholog_one2one,-0.07985,-0.02669,0.11569,0.63303,0.37889,shared,False,False,0.10391,hypertrophic,0.0833,proliferative,0.30205,True,False,,,,False,0.18171,0.12587,0.3409,0.0025,0.13315,0.00256,prehypertrophic,6.13504,prehypertrophic,5.88653,resting,5.77605,prehypertrophic,6.02015,resting,5.4304,prehypertrophic,5.69698,proliferative,7.81713,prehypertrophic,4.0,7.0,7.81713,0.20175,0.7313,-0.07975,0.99957,0.13876,1.0,0.01624,0.98699,0,-0.48428,ENSG00000198663,0.02124,0.0,0.0,0.02446,0.36806,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35649,0.8,-0.44351,
Slc44a3,,False,False,-0.03211,0.47046,,,0.47046,0.5,0.67626,False,False,KO_promotes_maturation,1.0,SLC44A3,True,ortholog_one2one,0.51217,1.0222,0.65234,0.34382,2.43163,proliferative,False,False,1.19663,proliferative,0.1885,hypertrophic,0.59906,True,False,,,,False,,,,,,,resting,0.76175,proliferative,0.29996,proliferative,0.88154,resting,0.55555,proliferative,1.53382,resting,1.34086,,,proliferative,3.0,6.0,1.53382,-2.43569,,-0.42769,0.99957,,,-0.44447,0.87985,0,-0.00492,ENSG00000143036,0.01481,0.03098,0.0,0.04851,0.32123,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35639,0.8,-0.44361,
Mfsd5,,False,False,0.19964,0.81209,,,0.81209,0.75,0.36917,False,False,KO_promotes_maturation,1.0,SLC61A1,True,ortholog_one2one,-0.47094,-0.34947,0.06188,0.33536,0.24579,shared,True,False,-0.36769,hypertrophic,0.08137,,,False,False,,,,False,0.0589,0.69328,-0.09988,0.38136,0.08424,0.33332,prehypertrophic,3.72876,prehypertrophic,4.46891,resting,2.27866,hypertrophic,3.52195,prehypertrophic,4.12237,hypertrophic,3.88806,hypertrophic,7.13747,hypertrophic,3.0,7.0,7.13747,0.22726,0.86336,0.09299,0.99957,-0.5714,1.0,,,0,-0.36188,ENSG00000182544,0.02556,0.07,0.0,0.0,0.29405,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35636,0.8,-0.44364,
Mapk13,,False,False,-0.04532,1.467,,,1.467,1.0,0.19883,False,False,KO_promotes_maturation,1.0,MAPK13,True,ortholog_one2one,-0.59013,-0.74762,0.19915,0.55332,2.30167,proliferative,True,False,-0.71411,resting,1.46653,hypertrophic,0.29654,True,False,1.0,1.0,49.0,True,,,,,,,resting,3.66298,resting,3.25278,resting,3.19194,resting,2.38614,proliferative,2.38638,resting,1.72725,,,resting,5.0,6.0,3.66298,-0.23195,0.96385,-0.03267,0.99957,1.17653,1.0,0.28511,0.87989,0,0.99893,ENSG00000156711,0.04618,0.07,0.15414,0.02401,0.56435,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,1.2,False,,False,False,0.75636,1.2,-0.44364,
Nefl,,False,False,-0.0551,1.09334,,,1.09334,1.0,0.1416,False,False,KO_promotes_maturation,1.0,NEFL,True,ortholog_one2one,,,,,,,,,,hypertrophic,1.07254,proliferative,0.60123,True,False,,,,False,,,,,,,resting,0.15257,proliferative,0.03212,resting,1.13128,,,proliferative,1.38067,,,,,proliferative,2.0,4.0,1.38067,2.25456,,-0.46194,0.99957,,,,,0,0.95003,ENSG00000277586,0.03442,0.0,0.0,0.04869,0.31062,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35628,0.8,-0.44372,
Fscn2,,False,False,-0.11277,0.53819,,,0.53819,0.5,0.64276,False,False,KO_promotes_maturation,1.0,FSCN2,True,ortholog_one2one,-0.09192,-0.36193,0.96588,0.6014,0.01937,shared,False,False,-0.13059,resting,0.28292,perichondrium,0.74477,True,False,,,,False,,,,,,,resting,0.5453,hypertrophic,0.81859,resting,0.3769,prehypertrophic,0.48824,prehypertrophic,0.78597,proliferative,0.66659,prehypertrophic,3.32329,prehypertrophic,3.0,7.0,3.32329,1.92958,,-0.04399,0.99957,,,-0.63942,0.87985,0,0.27637,ENSG00000186765,0.01694,0.0,0.0,0.06031,0.34265,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35626,0.8,-0.44374,
Lhx4,,False,False,0.06663,0.03507,,,0.06663,0.5,0.9854,False,False,KO_promotes_maturation,1.0,LHX4,True,ortholog_one2one,-0.52326,0.19967,0.42165,0.67651,0.39934,shared,False,False,-0.03027,proliferative,0.28185,hypertrophic,0.82737,True,False,1.0,1.0,7.69897,True,,,,,,,,,prehypertrophic,0.01895,proliferative,0.05841,,,prehypertrophic,0.56836,hypertrophic,0.14437,,,prehypertrophic,2.0,4.0,0.56836,0.93561,,0.23416,,,,0.97695,0.74151,0,0.37701,ENSG00000121454,0.0021,0.00277,0.10251,0.067,0.26698,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35617,0.8,-0.44383,
Rgs17,,False,False,-0.23865,0.79237,,,0.79237,0.75,0.44376,False,False,KO_promotes_maturation,1.0,RGS17,True,ortholog_one2one,0.29666,-1.11971,0.29167,0.49783,0.26706,shared,False,False,-0.39126,resting,0.66964,perichondrium,0.99084,True,False,6.0,6.0,39.04576,True,0.43797,0.18742,-2.35509,1e-05,-0.08672,0.5879,resting,0.65758,prehypertrophic,1.58793,resting,0.49041,resting,1.87255,resting,2.97018,hypertrophic,2.41015,,,resting,4.0,6.0,2.97018,1.15596,0.71991,0.26524,0.99957,0.4743,1.0,-0.41612,0.87985,0,0.9962,ENSG00000091844,0.02494,0.00972,0.30958,0.08024,0.48081,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,1.2,False,,False,False,0.7561,1.2,-0.4439,
Ptcd1,,False,False,-0.34608,1.07923,,,1.07923,0.75,0.41108,False,False,KO_promotes_maturation,1.0,PTCD1,True,ortholog_one2one,0.04188,-0.3486,0.95156,0.32673,0.2991,shared,False,False,-0.0349,resting,0.53444,,,False,False,1.0,1.0,14.1549,True,0.05318,0.57081,-0.00318,0.98201,0.14489,0.00493,prehypertrophic,2.62468,resting,3.24376,resting,1.67824,hypertrophic,2.12297,prehypertrophic,2.956,proliferative,2.84135,hypertrophic,5.71109,hypertrophic,2.0,7.0,5.71109,0.54051,0.7715,0.08512,0.99957,-1.06217,1.0,-0.11868,0.92824,0,0.12616,ENSG00000106246,0.03397,0.00137,0.11058,0.0,0.24788,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35609,0.8,-0.44391,
Fam168a,,False,False,0.08071,1.74301,,,1.74301,1.0,0.08025,False,False,KO_promotes_maturation,1.0,FAM168A,True,ortholog_one2one,-0.07645,-0.37094,0.88753,0.43402,1.01531,proliferative,False,False,-0.12666,resting,0.56603,perichondrium,0.06799,True,False,,,,False,-0.02083,0.8385,-0.45156,0.00141,0.12214,0.00377,proliferative,5.43424,resting,5.49468,proliferative,4.16841,prehypertrophic,5.59658,prehypertrophic,6.28563,prehypertrophic,5.50496,proliferative,6.76228,prehypertrophic,3.0,7.0,6.76228,-0.13428,0.84645,-0.06894,0.99957,-1.00512,1.0,0.15085,0.88864,0,-0.25274,ENSG00000054965,0.05487,0.0,0.0,0.0055,0.30236,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35602,0.8,-0.44398,
Pbx1,,False,True,-0.07899,0.84563,-0.01127,0.2694,0.84563,1.0,0.25331,False,True,KO_promotes_maturation,1.0,PBX1,True,ortholog_one2one,0.00889,-0.52985,0.97999,0.39977,-1.49464,hypertrophic,True,False,-0.17883,resting,0.20105,perichondrium,0.37884,True,False,,,,False,0.09227,0.27793,-1.1054,0.0,0.31564,0.00133,resting,5.40772,resting,4.89192,resting,4.2902,resting,5.00009,prehypertrophic,7.58467,hypertrophic,5.23976,hypertrophic,4.96622,resting,4.0,7.0,7.58467,-0.30066,0.60761,-0.17423,0.84867,0.08878,1.0,-0.10856,0.91709,0,-0.2628,ENSG00000185630,0.17662,0.07029,0.0,0.03068,0.38492,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,1.2,False,,False,False,0.75601,1.2,-0.44399,
Gm6496,,False,False,-1.17853,2.66124,,,2.66124,1.0,,False,False,KO_promotes_maturation,1.0,,False,,,,,,,,,,,,,,,False,False,2.0,2.0,13.39794,True,,,,,,,,,,,,,,,,,,,,,,,,,0.21426,,,,,,,,0,0.0,,0.08377,0.0,0.16397,0.0,0.07161,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35601,0.8,-0.44399,
Tank,,False,False,0.10273,0.64027,,,0.64027,0.75,0.45419,False,False,KO_promotes_maturation,1.0,TANK,True,ortholog_one2one,-0.26797,-0.60804,0.32177,0.39641,-1.27077,hypertrophic,True,False,-0.41105,proliferative,0.03321,prehypertrophic,0.31342,True,False,,,,False,-0.19073,0.14837,0.19894,0.01318,-0.13866,0.09745,proliferative,3.9569,resting,3.28014,proliferative,3.12843,resting,4.74605,prehypertrophic,5.19888,resting,4.74714,proliferative,6.3049,proliferative,3.0,7.0,6.3049,0.19695,0.89506,-0.07427,0.99957,1.01088,1.0,0.05682,0.9522,0,-0.52422,ENSG00000136560,0.02015,0.07,0.0,0.02538,0.28168,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35596,0.8,-0.44404,
Rpap2,,False,False,-0.51472,0.98918,,,0.98918,1.0,0.1713,False,False,KO_promotes_maturation,1.0,RPAP2,True,ortholog_one2one,0.11461,0.28943,0.21728,0.44831,0.87729,proliferative,False,False,0.44362,proliferative,0.13158,prehypertrophic,0.0782,True,False,,,,False,-0.23338,0.06846,-0.18542,0.08838,-0.03793,0.52273,prehypertrophic,3.30639,hypertrophic,3.64842,hypertrophic,3.15202,hypertrophic,2.7809,prehypertrophic,3.73469,prehypertrophic,2.95026,hypertrophic,4.58345,hypertrophic,4.0,7.0,4.58345,-0.02775,0.99134,0.02768,0.99957,-0.152,1.0,-0.27199,0.87985,0,-0.70815,ENSG00000122484,0.03114,0.00778,0.0,0.00633,0.35101,0.0,gene_restrains_maturation,accelerates,activate/agonise (preserve resting pool; inhibition risks plate exhaustion),1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,0.0,,,,,,,,,,,False,0.0,0.0,0.0,0.0,False,0.0,0.8,False,,False,False,0.35592,0.8,-0.44408,
