compound,compound_family,primary_target_queried,mouse_potency_nM,mouse_n,human_potency_nM,human_n,species_gap_fold,interpretation
CHEMBL474892,polarity / cilia,SMO,1190.0,1,770.0,1,0.65,within 3-fold
PURMORPHAMINE,polarity / cilia,SMO,800.0,1,1500.0,1,1.88,within 3-fold
CHEMBL497210,polarity / cilia,SMO,889.0,3,5000.0,1,5.62,human potency much weaker - a mouse assay will overestimate
CHEMBL515245,polarity / cilia,SMO,1420.0,1,1150.0,1,0.81,within 3-fold
CHEMBL497819,polarity / cilia,SMO,1228.0,3,5000.0,1,4.07,human potency much weaker - a mouse assay will overestimate
CHEMBL497003,polarity / cilia,SMO,1290.0,3,5000.0,1,3.88,human potency much weaker - a mouse assay will overestimate
CHEMBL523431,polarity / cilia,SMO,1848.2,3,2261.0,1,1.22,within 3-fold
CHEMBL497820,polarity / cilia,SMO,1739.0,3,5000.0,1,2.88,within 3-fold
CHEMBL423915,polarity / cilia,SMO,2480.0,1,3420.0,1,1.38,within 3-fold
CHEMBL473703,polarity / cilia,SMO,2960.0,1,2700.0,1,0.91,within 3-fold
CHEMBL497209,polarity / cilia,SMO,2438.4,3,5000.0,1,2.05,within 3-fold
CHEMBL495579,polarity / cilia,SMO,4020.8,3,5000.0,1,1.24,within 3-fold
CHEMBL497218,polarity / cilia,SMO,5000.0,3,5000.0,1,1.0,within 3-fold
CHEMBL142450,polarity / cilia,SMO,5090.0,1,7520.0,1,1.48,within 3-fold
