mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Mtf2,MTF2,ENSG00000143033,MTF2,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.087,0.024,0,,18,abnormal axial skeleton morphology,,0,0,0
Myh9,MYH9,ENSG00000100345,MYH9,protein_coding,Unclassified protein,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt loc med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,False,True,False,1258,-0.5493,0.519,0,,47,abnormal actin cytoskeleton morphology,CHEMBL2189151,0,0,0
Kdm2a,KDM2A,ENSG00000173120,KDM2A,protein_coding,Epigenetic regulator; Eraser; Jumonji domain-containing; Lysine demethylase,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,True,1258,-0.6212,0.646,0,,0,,CHEMBL1938210,0,2,0
Prkar1a,PRKAR1A,ENSG00000108946,PRKAR1A,protein_coding,Enzyme; Kinase; Protein kinase regulatory subunit,SM:Structure with Ligand; AB:UniProt loc high conf; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,-0.1974,0.155,0,,56,abnormal bone mineralization; abnormal craniofacial bone morphology; abnormal long bone diaphysis morphology; abnormal long bone epiphyseal plate morphology; abnormal long bone epiphyseal plate proliferative zone; abnormal long bone metaphysis morphology; abnormal skeleton development; abnormal trabecular bone morphology; chondrodystrophy; decreased bone mineral density,CHEMBL4928,0,0,0
Commd6,COMMD6,ENSG00000188243,COMMD6,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,-0.1762,0.014,0,,0,,,0,0,0
Eif3h,EIF3H,ENSG00000147677,EIF3H,protein_coding,Unclassified protein,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-0.9177,0.904,0,,0,,CHEMBL6067045,0,0,0
Ift52,IFT52,ENSG00000101052,IFT52,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,0.0556,0.001,0,,15,,,0,0,0
Swi5,SWI5,ENSG00000175854,SWI5,protein_coding,,,False,False,False,1140,-0.1547,0.026,0,,0,,,0,0,0
Traf3,TRAF3,ENSG00000131323,TRAF3,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.012,0.021,0,,15,,,0,0,0
Emsy,EMSY,ENSG00000158636,EMSY,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.0274,0.026,0,,13,,,0,4,4
Cop1,COP1,ENSG00000143207,COP1,protein_coding,Enzyme; Transferase,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.2722,0.225,0,,3,,CHEMBL5465335,0,5,5
Sox6,SOX6,ENSG00000110693,SOX6,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1256,-0.0179,0.005,0,,7,,,0,0,0
Fkbp1a,FKBP1A,ENSG00000088832,FKBP1A,protein_coding,Enzyme; Isomerase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc med conf; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1096,-0.3346,0.217,0,,24,,CHEMBL1902,7,15,7
Bmpr2,BMPR2,ENSG00000204217,BMPR2,protein_coding,Enzyme; Kinase; Protein Kinase; TKL protein kinase STKR Type 2 subfamily; TKL protein kinase STKR family; TKL protein kinase group,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,True,False,1258,-0.034,0.01,0,,44,delayed bone ossification,CHEMBL5467,2,4,3
Aldh2,ALDH2,ENSG00000111275,ALDH2,protein_coding,Enzyme; Oxidoreductase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.0417,0.003,1,alcoholism,44,decreased bone mineral density; increased bone mineral content; increased bone mineral density,CHEMBL1935,1,10,7
Foxc1,FOXC1,ENSG00000054598,FOXC1,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,0.0391,0.013,0,,209,abnormal Reichert's cartilage morphology; abnormal arytenoid cartilage morphology; abnormal axial skeleton morphology; abnormal bone ossification; abnormal carpal bone morphology; abnormal cartilage development; abnormal cartilage morphology; abnormal craniofacial bone morphology; abnormal cricoid cartilage morphology; abnormal frontal bone morphology,,0,0,0
Bptf,BPTF,ENSG00000171634,BPTF,protein_coding,Bromodomain; Epigenetic regulator; Reader,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,True,1258,-0.6419,0.678,0,,31,abnormal bone structure,CHEMBL3085621,0,1,0
Arrb2,ARRB2,ENSG00000141480,ARRB2,protein_coding,,AB:GO CC high conf; AB:UniProt loc med conf; AB:Human Protein Atlas loc; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,0.0434,0.002,2,addiction; adverse events,5,,,0,4,4
Hoxa11,HOXA11,ENSG00000005073,HOXA11,protein_coding,,PR:Database Ubiquitination,False,False,False,1253,-0.1266,0.016,0,,37,abnormal carpal bone morphology; abnormal forelimb zeugopod morphology; abnormal hindlimb zeugopod morphology; fused carpal bones,,0,0,0
Ccm2,CCM2,ENSG00000136280,CCM2,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1257,-0.0497,0.016,0,,39,,,0,0,0
Nedd4,NEDD4,ENSG00000069869,NEDD4,protein_coding,Enzyme; Ligase,SM:Structure with Ligand; SM:Med-Quality Pocket; AB:GO CC high conf; AB:UniProt loc med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,0.0425,0.0,0,,68,abnormal craniofacial bone morphology; abnormal frontal bone morphology; abnormal temporal bone tympanic part morphology; absent palate bones; centrally nucleated skeletal muscle fibers; decreased bone mass; decreased bone mineral density; decreased bone ossification; increased variability of skeletal muscle fiber size; small basioccipital bone,CHEMBL3621023,0,1,1
Mib1,MIB1,ENSG00000101752,MIB1,protein_coding,,AB:UniProt loc med conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.2212,0.156,0,,37,,,0,0,0
Ptbp1,PTBP1,ENSG00000011304,PTBP1,protein_coding,Other nuclear protein,SM:Med-Quality Pocket; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.522,0.502,0,,0,,CHEMBL1293230,0,6,0
Cdyl,CDYL,ENSG00000153046,CDYL,protein_coding,Chromodomain; Epigenetic regulator; Methyl-lysine/arginine binding protein; Reader,SM:High-Quality Ligand; SM:Med-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.0909,0.023,0,,0,,CHEMBL3879827,0,0,0
Brd2,BRD2,ENSG00000204256,BRD2,protein_coding,Bromodomain; Epigenetic regulator; Reader,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; SM:Druggable Family; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.4339,0.391,0,,31,,CHEMBL1293289,0,28,4
Phf12,PHF12,ENSG00000109118,PHF12,protein_coding,,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-0.5607,0.559,0,,0,,,0,0,0
Krit1,KRIT1,ENSG00000001631,KRIT1,protein_coding,,SM:Structure with Ligand; AB:GO CC high conf; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,0.0449,0.006,0,,26,,,0,0,0
Lrp6,LRP6,ENSG00000070018,LRP6,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,-0.0032,0.006,0,,141,abnormal forelimb morphology; abnormal frontal bone morphology; abnormal hindlimb morphology; abnormal limb morphology; decreased bone mineral density; delayed bone ossification; forelimb oligodactyly; short limbs,CHEMBL3745588,0,0,0
Suv39h1,SUV39H1,ENSG00000101945,SUV39H1,protein_coding,Epigenetic regulator; Protein methyltransferase; Writer,SM:High-Quality Ligand; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,True,True,False,1258,-0.0575,0.007,0,,0,,CHEMBL1795118,0,1,0
Csde1,CSDE1,ENSG00000009307,CSDE1,protein_coding,Unclassified protein,AB:GO CC high conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.3059,0.223,0,,15,,CHEMBL6067007,0,0,0
Pdcd10,PDCD10,ENSG00000114209,PDCD10,protein_coding,Unclassified protein,SM:Med-Quality Pocket; AB:UniProt loc med conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,0.2298,0.016,0,,11,,CHEMBL6066262,0,0,0
Sox9,SOX9,ENSG00000125398,SOX9,protein_coding,Transcription factor,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1256,-0.3213,0.2,0,,64,abnormal Meckel's cartilage morphology; abnormal bone mineralization; abnormal cartilage development; abnormal hyoid bone morphology; abnormal laryngeal cartilage morphology; abnormal long bone morphology; abnormal skeleton development; abnormal tracheal cartilage morphology; chondrodystrophy; increased width of hypertrophic chondrocyte zone,CHEMBL4523231,0,0,0
Afdn,AFDN,ENSG00000130396,AFDN,protein_coding,,SM:Structure with Ligand; AB:GO CC high conf; AB:Human Protein Atlas loc; PR:Database Ubiquitination,True,True,False,1258,-0.0747,0.024,0,,20,,,0,0,0
Pitrm1,PITRM1,ENSG00000107959,PITRM1,protein_coding,Enzyme,SM:Structure with Ligand; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.3433,0.248,0,,21,limb grasping,CHEMBL3124731,0,0,0
Commd5,COMMD5,ENSG00000170619,COMMD5,protein_coding,,PR:Half-life Data,False,False,False,1258,-0.1921,0.029,0,,0,,,0,0,0
Urod,UROD,ENSG00000126088,UROD,protein_coding,Enzyme; Lyase,SM:Structure with Ligand; SM:High-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-0.687,0.563,1,Uroporphyria,2,,CHEMBL1681619,0,0,0
Ralgapb,RALGAPB,ENSG00000170471,RALGAPB,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.0246,0.021,0,,1,,,0,0,0
Washc1,WASH6P,ENSG00000182484,WASH6P,protein_coding,,,False,False,,0,,,0,,0,,,0,0,0
Lgr4,LGR4,ENSG00000205213,LGR4,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:Druggable Family; AB:Advanced Clinical; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,True,True,False,1258,0.09,0.002,0,,95,,CHEMBL6067594,0,5,0
Ift172,IFT172,ENSG00000138002,IFT172,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.0264,0.002,0,,66,abnormal limb morphology; decreased length of long bones,,0,0,0
Cplane2,CPLANE2,ENSG00000132881,CPLANE2,protein_coding,,,False,False,False,1258,-0.1472,0.011,0,,19,,,0,0,0
Kif3b,KIF3B,ENSG00000101350,KIF3B,protein_coding,Other cytosolic protein,SM:Structure with Ligand; SM:Med-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data,True,False,False,1258,-0.0082,0.003,0,,33,abnormal bone structure; increased bone mineral content,CHEMBL6109,0,0,0
Acvr1,ACVR1,ENSG00000115170,ACVR1,protein_coding,Enzyme; Kinase; Protein Kinase; TKL protein kinase STKR family; TKL protein kinase STKR1; TKL protein kinase group,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,True,False,1258,0.0578,0.002,0,,42,ectopic bone; increased osteochondroma incidence; short metatarsal bones; skeletal muscle degeneration,CHEMBL5903,4,36,7
Ift57,IFT57,ENSG00000114446,IFT57,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.0995,0.02,0,,19,,,0,0,0
Wbp1l,WBP1L,ENSG00000166272,WBP1L,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,False,True,False,1258,-0.1944,0.034,0,,12,,,0,0,0
Kdelr2,KDELR2,ENSG00000136240,KDELR2,protein_coding,Unclassified protein,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,False,True,False,1258,-0.0672,0.017,0,,5,abnormal bone structure,CHEMBL6066915,0,0,0
Ankrd11,ANKRD11,ENSG00000167522,ANKRD11,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,-0.3153,0.223,0,,36,abnormal bone structure; abnormal craniofacial bone morphology; abnormal nasal bone morphology; decreased bone mass; decreased bone mineral density; decreased bone mineral density of femur; decreased compact bone area; enlarged parietal bone; increased bone mineral content; short frontal bone,,0,0,0
Alad,ALAD,ENSG00000148218,ALAD,protein_coding,Enzyme; Lyase,SM:Structure with Ligand; AB:GO CC high conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,-0.0866,0.044,0,,14,,CHEMBL3126,0,1,0
Gsk3b,GSK3B,ENSG00000082701,GSK3B,protein_coding,CMGC protein kinase GSK family; CMGC protein kinase group; Enzyme; Kinase; Protein Kinase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,0.0091,0.024,14,Carcinogenicity; Mitochondrial toxicity; abnormal bone development; cardiac dysfunction; female infertility; heart disease; insulin resistance; male infertility,33,abnormal skeleton physiology; delayed bone ossification; increased bone mass; increased bone ossification; increased bone resorption; increased compact bone mass; increased compact bone thickness; increased trabecular bone mass; increased trabecular bone volume,CHEMBL262,3,77,7
Mtmr3,MTMR3,ENSG00000100330,MTMR3,protein_coding,,AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0974,0.012,0,,8,,,0,0,0
Bbc3,BBC3,ENSG00000105327,BBC3,protein_coding,,PR:Small Molecule Binder,False,False,False,1258,-0.083,0.005,0,,0,,,0,0,0
Gramd1a,GRAMD1A,ENSG00000089351,GRAMD1A,protein_coding,Unclassified protein,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0243,0.001,0,,0,,CHEMBL5725017,0,0,0
Vps37c,VPS37C,ENSG00000167987,VPS37C,protein_coding,,AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.2807,0.083,0,,0,,,0,0,0
Ccnf,CCNF,ENSG00000162063,CCNF,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.0856,0.064,0,,21,small hindlimb buds,,0,0,0
Wdr19,WDR19,ENSG00000157796,WDR19,protein_coding,,AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0077,0.0,0,,43,abnormal limb development; abnormal limb mesenchyme morphology; abnormal limb paddle morphology; abnormal palatine bone morphology; absent frontal bone; absent supraoccipital bone; decreased palatine bone horizontal plate size; interparietal bone hypoplasia; parietal bone hypoplasia,,0,0,0
Epha2,EPHA2,ENSG00000142627,EPHA2,protein_coding,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase Eph family,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Literature; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,0.0588,0.001,1,regulation of catalytic activity,17,,CHEMBL2068,2,25,4
Vti1a,VTI1A,ENSG00000151532,VTI1A,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0389,0.002,0,,13,limb grasping,,0,1,1
Btf3l4,BTF3L4,ENSG00000134717,BTF3L4,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1258,-0.5753,0.611,0,,0,,,0,0,0
Cbfb,CBFB,ENSG00000067955,CBFB,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:High-Quality Ligand; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.2739,0.215,0,,69,abnormal axial skeleton morphology; abnormal bone marrow cell morphology/development; abnormal chondrocyte morphology; abnormal limb bone morphology; abnormal long bone diaphysis morphology; abnormal metacarpal bone morphology; abnormal metatarsal bone morphology; abnormal pectoral girdle bone morphology; abnormal skeleton development; delayed bone ossification,CHEMBL1615386,0,32,6
Tfap4,TFAP4,ENSG00000090447,TFAP4,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.3643,0.258,0,,12,,,0,0,0
Setd5,SETD5,ENSG00000168137,SETD5,protein_coding,,PR:Database Ubiquitination,False,False,False,1257,-0.289,0.17,0,,37,,,0,0,0
Tjap1,TJAP1,ENSG00000137221,TJAP1,protein_coding,,AB:UniProt loc high conf; AB:UniProt loc med conf; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.1295,0.005,0,,0,,,0,0,0
Ptges,PTGES,ENSG00000148344,PTGES,protein_coding,Enzyme; Isomerase,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; AB:UniProt SigP or TMHMM; PR:Small Molecule Binder,True,True,False,1258,0.0044,0.004,2,cardiovascular toxicity; cardiovascular toxicity and symptoms,0,,CHEMBL5658,0,20,3
Cep20,CEP20,ENSG00000133393,CEP20,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,0.0617,0.0,0,,18,,,0,0,0
Atp2b1,ATP2B1,ENSG00000070961,ATP2B1,protein_coding,,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.2068,0.13,0,,51,hindlimb paralysis; limb grasping,,0,1,0
Brinp1,BRINP1,ENSG00000078725,BRINP1,protein_coding,,AB:UniProt SigP or TMHMM; PR:Half-life Data,False,True,False,1233,0.1152,0.0,0,,24,,,0,0,0
Ckap2,CKAP2,ENSG00000136108,CKAP2,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.2294,0.065,0,,0,,,0,0,0
Rc3h1,RC3H1,ENSG00000135870,RC3H1,protein_coding,,AB:Human Protein Atlas loc; PR:Half-life Data,False,True,False,1258,-0.1624,0.046,0,,46,,,0,0,0
Zkscan3,ZKSCAN4,ENSG00000187626,ZKSCAN4,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.011,0.0,0,,0,,,0,0,0
Mast3,MAST3,ENSG00000099308,MAST3,protein_coding,AGC protein kinase MAST family; AGC protein kinase group; Enzyme; Kinase; Protein Kinase,SM:High-Quality Ligand; SM:Druggable Family; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.1735,0.009,1,neutropenia,4,,CHEMBL2417352,0,1,0
Ppa1,PPA1,ENSG00000180817,PPA1,protein_coding,Enzyme; Hydrolase,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1258,-1.0346,0.905,0,,33,increased skeletal muscle triglyceride level,CHEMBL6067227,0,2,1
Zdhhc5,ZDHHC5,ENSG00000156599,ZDHHC5,protein_coding,,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination,False,True,False,1258,-0.0142,0.007,0,,10,,,0,0,0
Glud1,GLUD2,ENSG00000182890,GLUD2,protein_coding,,PR:Database Ubiquitination,False,False,False,1258,0.2204,0.0,0,,0,,,0,0,0
Tmem184c,TMEM184C,ENSG00000164168,TMEM184C,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0405,0.01,0,,0,,,0,0,0
Vps29,VPS29,ENSG00000111237,VPS29,protein_coding,,SM:Structure with Ligand; AB:UniProt loc med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1257,-0.3954,0.327,0,,0,,,0,0,0
Pdpr,PDPR,ENSG00000090857,PDPR,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.278,0.095,0,,8,,,0,0,0
Kdm1a,KDM1A,ENSG00000004487,KDM1A,protein_coding,Epigenetic regulator; Eraser; Lysine demethylase; Lysine-specific demethylase,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.2251,0.079,0,,35,,CHEMBL6136,1,15,1
Gcn1,GCN1,ENSG00000089154,GCN1,protein_coding,Unclassified protein,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1258,-0.5341,0.512,0,,21,delayed limb development,CHEMBL3706558,0,0,0
Ppp2ca,PPP2CA,ENSG00000113575,PPP2CA,protein_coding,Enzyme; Phosphatase; Protein Phosphatase; Serine/threonine protein phosphatase,SM:Advanced Clinical; SM:Structure with Ligand; SM:High-Quality Ligand; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,True,1258,-1.0677,0.846,1,regulation of catalytic activity,7,,CHEMBL4703,1,6,1
Pkia,PKIA,ENSG00000171033,PKIA,protein_coding,,SM:Structure with Ligand; PR:Half-life Data,True,False,False,1258,-0.0032,0.002,0,,6,,,0,0,0
Agrp,AGRP,ENSG00000159723,AGRP,protein_coding,,AB:UniProt loc high conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf,False,True,False,1216,-0.0336,0.002,0,,28,,,0,0,0
Emc3,EMC3,ENSG00000125037,EMC3,protein_coding,Unclassified protein,SM:Structure with Ligand; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,True,True,True,1257,-0.8979,0.796,0,,0,,CHEMBL6067207,0,0,0
Slc2a1,SLC2A1,ENSG00000117394,SLC2A1,protein_coding,Electrochemical transporter; SLC superfamily of solute carriers; SLC02 family of hexose and sugar alcohol transporters; Transporter,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; AB:Human Protein Atlas loc; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1258,-0.4904,0.408,0,,31,,CHEMBL2535,0,21,11
Clic1,CLIC1,ENSG00000213719,CLIC1,protein_coding,Enzyme; Oxidoreductase,SM:Structure with Ligand; SM:Med-Quality Pocket; AB:UniProt loc high conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,True,True,False,1258,-0.0536,0.002,0,,4,,CHEMBL6067062,0,0,0
Tubgcp5,TUBGCP5,ENSG00000275835,TUBGCP5,protein_coding,,SM:Structure with Ligand; PR:Database Ubiquitination,True,False,True,1258,-1.0916,0.988,0,,0,,,0,0,0
Slco2b1,SLCO2B1,ENSG00000137491,SLCO2B1,protein_coding,Electrochemical transporter; SLC superfamily of solute carriers; SLC21/SLCO family of organic anion transporting polypeptides; Transporter,SM:Druggable Family; AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt SigP or TMHMM; PR:Half-life Data; PR:Small Molecule Binder,True,True,False,1252,0.1017,0.0,0,,2,,CHEMBL1743124,0,26,14
Pagr1a,PAGR1,ENSG00000280789,PAGR1,protein_coding,,PR:Half-life Data,False,False,False,1258,-0.2356,0.157,0,,0,,,0,0,0
Junb,JUNB,ENSG00000171223,JUNB,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,False,1258,-0.2887,0.172,0,,0,,,0,3,2
Emp2,EMP2,ENSG00000213853,EMP2,protein_coding,,AB:UniProt loc high conf; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM,False,True,False,1257,-0.0381,0.002,0,,0,,,0,1,0
Lamc1,LAMC1,ENSG00000135862,LAMC1,protein_coding,,AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data; OC:Approved Drug,False,True,False,1258,0.1209,0.0,0,,50,centrally nucleated skeletal muscle fibers; decreased skeletal muscle fiber diameter; decreased skeletal muscle mass; limb grasping; skeletal muscle fiber atrophy,,0,1,1
Nop58,NOP58,ENSG00000055044,NOP58,protein_coding,Unclassified protein,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-1.771,0.998,0,,0,,CHEMBL6067121,0,0,0
Uxt,UXT,ENSG00000126756,UXT,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination,False,False,True,1258,-0.8883,0.945,0,,0,,,0,0,0
Cope,COPE,ENSG00000105669,COPE,protein_coding,Unclassified protein,AB:UniProt loc med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,True,True,1257,-1.2064,0.949,0,,0,,CHEMBL6067056,0,0,0
Sap30,SAP30,ENSG00000164105,SAP30,protein_coding,,PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,0.0714,0.002,0,,4,,,0,0,0
Sec24b,SEC24B,ENSG00000138802,SEC24B,protein_coding,,AB:UniProt loc high conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0069,0.003,0,,27,,,0,0,0
