mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Ovca2,OVCA2,ENSG00000262664,OVCA2,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.1967,0.039,0,,0,,,0,0,0
Tsr3,TSR3,ENSG00000007520,TSR3,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.0926,0.032,0,,0,,,0,0,0
Prelid1,PRELID1,ENSG00000169230,PRELID1,protein_coding,,SM:Structure with Ligand; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-3.0042,1.0,0,,0,,,0,0,0
Tmem147,TMEM147,ENSG00000105677,TMEM147,protein_coding,,AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; AB:GO CC med conf; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.0786,0.014,0,,4,,,0,0,0
Ttc27,TTC27,ENSG00000018699,TTC27,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1257,-1.6268,0.989,0,,0,,,0,0,0
Hypk,HYPK,ENSG00000242028,HYPK,protein_coding,Unclassified protein,SM:Structure with Ligand; PR:Database Ubiquitination; PR:Half-life Data,True,False,True,1258,-0.8886,0.928,0,,0,,CHEMBL6066284,0,0,0
Uri1,URI1,ENSG00000105176,URI1,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1258,-1.0049,0.959,0,,1,,,0,0,0
Gosr2,GOSR2,ENSG00000108433,GOSR2,protein_coding,,AB:UniProt SigP or TMHMM; PR:Database Ubiquitination; PR:Half-life Data,False,True,True,1258,-1.0462,0.979,0,,5,,,0,0,0
Kat8,KAT8,ENSG00000103510,KAT8,protein_coding,Epigenetic regulator; Histone acetyltransferase; MYST family; Writer,SM:Structure with Ligand; SM:High-Quality Ligand; SM:High-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,True,1258,-1.4526,0.995,0,,19,,CHEMBL1932912,0,2,0
Klhl6,KLHL6,ENSG00000172578,KLHL6,protein_coding,Unclassified protein,SM:Druggable Family; AB:Human Protein Atlas loc; PR:Database Ubiquitination,True,True,False,1251,0.0352,0.005,0,,30,,CHEMBL6066409,0,0,0
4930453N24Rik,C3orf38,ENSG00000179021,C3orf38,protein_coding,,AB:Human Protein Atlas loc; PR:Database Ubiquitination,False,True,False,1258,-0.4004,0.284,0,,10,,,0,0,0
Hltf,HLTF,ENSG00000071794,HLTF,protein_coding,,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258,0.0885,0.001,0,,2,,,0,0,0
1700011L22Rik,C4orf51,ENSG00000237136,C4orf51,protein_coding,,,False,False,False,1213,0.0112,0.002,0,,0,,,0,0,0
