gene,avg_lfc_pD4,avg_neglogp_pD4,n_guides_pD4,guide_mean_lfc_pD4,guide_sd_pD4,guide_consistency_pD4,guide_t_pD4,guide_p_pD4,guide_FDR_pD4,avg_lfc_pD15,avg_neglogp_pD15,n_guides_pD15,guide_mean_lfc_pD15,guide_sd_pD15,guide_consistency_pD15,guide_t_pD15,guide_p_pD15,guide_FDR_pD15,avg_lfc_sD4,avg_neglogp_sD4,n_guides_sD4,guide_mean_lfc_sD4,guide_sd_sD4,guide_consistency_sD4,guide_t_sD4,guide_p_sD4,guide_FDR_sD4,avg_lfc_sD15,avg_neglogp_sD15,n_guides_sD15,guide_mean_lfc_sD15,guide_sd_sD15,guide_consistency_sD15,guide_t_sD15,guide_p_sD15,guide_FDR_sD15,in_secondary_library,sig_pD4,sig_pD15,sig_sD4,sig_sD15,primary_sign_agree,secondary_sign_agree,cross_library_agree,n_sig_timepoints,max_abs_lfc,screen_direction,effect_class,frac_multimapping_guides,multimapping_artifact,d4_concordant,crispr_tier,CRISPR_CAUSAL
1700011L22Rik,0.03151427875,0.521420532125,4.0,0.029999999999999992,0.28366647081857715,0.5,0.21151600972387685,0.8460388729423464,0.957452339337594,1.295069175,0.896838202862,4.0,1.2925,0.12499999999999997,1.0,20.680000000000003,0.00024727223258885387,0.02370115231390171,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.295069175,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Brd2,-1.2904123385,6.07211193348,4.0,-1.29,0.2267156809750927,1.0,-11.379892157893757,0.0014558389639759194,0.07881982181594846,-0.47388681025,1.27675402752,4.0,-0.47250000000000003,1.8438614373102986,0.75,-0.5125113963978241,0.6436416060515541,0.784321336428419,-0.984175298,4.998113965,10.0,-0.985,0.1844059531456497,1.0,-16.89123069039778,4.0061718647742765e-08,4.4830970867712144e-07,-0.965887275,3.388864446,10.0,-0.966,0.3901053988632075,1.0,-7.830602264476278,2.6251689441092578e-05,0.00015818325688863477,True,True,False,True,True,True,True,True,3,1.2904123385,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Hdac5,0.485031012,2.01024696375,4.0,0.485,0.45843938167075776,0.75,2.115874069249651,0.12466961410994652,0.5628887845383657,1.28809647025,0.763373471487,4.0,1.2875,1.1284908801876365,0.75,2.281808426818522,0.10675744132764159,0.3081975564460814,0.266087843,3.292661529,10.0,0.264,0.11057425860780921,1.0,7.550051095033906,3.504284573933254e-05,7.352739954234951e-05,0.011741607,0.921207037,9.0,0.011111111111111115,0.29696146401698503,0.4444444444444444,0.11224800983412045,0.913392165342982,0.9414349072614069,True,False,False,True,False,True,True,True,1,1.28809647025,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Csde1,0.73345723075,3.7685437374,4.0,0.7325,0.2455436145915154,1.0,5.966353482403375,0.009420596438410252,0.20762954926296412,1.2822478915,0.727471249837,4.0,1.2825,0.6064857788934543,1.0,4.229283009207396,0.02418267994523904,0.17486357335806924,0.191540104,2.39722229,9.0,0.19111111111111112,0.1299465702168053,0.8888888888888888,4.412069763571084,0.0022501791232376867,0.003166419724316505,0.386601272,0.836502115,10.0,0.386,0.4536812390507973,0.8,2.6905216080322054,0.024775340373133288,0.0466246428105931,True,False,False,True,True,True,True,True,2,1.2822478915,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Foxc1,-1.0344473125,4.43730408997,4.0,-1.0325,0.28837186640401197,1.0,-7.160892724212263,0.005609058306258081,0.16465807016690387,-0.6084200825,1.416967077,4.0,-0.6075000000000002,1.8541732209621986,0.5,-0.6552785825315136,0.5590527184086417,0.7269072566901446,-0.922389017,3.894169542,10.0,-0.923,0.34618716838663377,1.0,-8.431226073277266,1.4517007542527927e-05,3.411496772494063e-05,-1.280484597,3.985965469,9.0,-1.28,0.3523137805990563,1.0,-10.899374964756305,4.4468900269019094e-06,4.354246484674786e-05,True,False,False,True,True,True,True,True,2,1.280484597,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Mcu,-0.0310101545,0.452975026571,4.0,-0.03,0.265329983228432,0.5,-0.22613350843332272,0.8356285662958693,0.9544895749744013,1.2800097375,0.866365681656,4.0,1.28,0.16673332000533062,1.0,15.353859683944124,0.0006001024471578496,0.04018577409721575,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.2800097375,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Rsc1a1,0.15345026175,0.793065102958,4.0,0.15000000000000002,0.23352373184182662,0.75,1.2846660064648163,0.2891190247136655,0.7160631108759001,1.24838369925,0.852969646448,4.0,1.2475,0.14840822079655827,1.0,16.811737157203773,0.0004582777002402777,0.03422545436549658,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.24838369925,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Ccm2,-1.15474142825,4.9690539435,4.0,-1.1524999999999999,0.3617895336610315,1.0,-6.371107468685383,0.007826897454401153,0.1925409988111159,-0.48398771375,1.47588382221,4.0,-0.4825,0.3336040567299305,1.0,-2.892650675351999,0.06287712199185527,0.24938589413447215,-0.893170901,3.849842093,10.0,-0.893,0.2149961239960696,1.0,-13.134720282594433,3.5538870673648617e-07,1.7594989388490072e-06,-1.247384512,3.594862892,8.0,-1.2475,0.3518014862309222,1.0,-10.029698498217238,2.0979951457932793e-05,0.00013695246090595018,True,False,False,True,True,True,True,True,2,1.247384512,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Lrp6,0.46568255525,2.13208365693,4.0,0.465,0.25514701644346144,1.0,3.644957377763736,0.03561782453745029,0.3648148754169802,1.24590890575,0.780218644153,4.0,1.2475,1.3899490398332355,0.75,1.7950298381438126,0.17052684285496633,0.3850308217859387,0.272533395,3.559743646,10.0,0.27199999999999996,0.07052186422190874,1.0,12.1967780213414,6.7028645947767e-07,2.7158158271940076e-06,0.056301256,0.754200257,10.0,0.05599999999999998,0.49773263684208796,0.5,0.3557885014191113,0.7301958321296762,0.7981210258161576,True,False,False,True,False,True,True,True,1,1.24590890575,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
ONE_INTERGENIC_SITE_2,0.32691109825,1.43632459831,4.0,0.3275,0.3566861365402362,0.75,1.8363483547561776,0.1636316085290681,0.6067025418541393,1.24544295825,0.804240086703,4.0,1.2449999999999999,1.460102736111401,0.75,1.705359450685956,0.1866717246585206,0.40179085529293407,-0.070185869,1.016880797,8.0,-0.07,0.06697547525560596,0.75,-2.9561551892931326,0.021220563819720407,0.025973085925178625,-0.226463049,1.100614433,8.0,-0.22499999999999995,0.39907034825597204,0.5,-1.5946965387157626,0.15480970202886105,0.21915831311314668,True,False,False,True,False,True,True,False,1,1.24544295825,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
