gene,avg_lfc_pD4,avg_neglogp_pD4,n_guides_pD4,guide_mean_lfc_pD4,guide_sd_pD4,guide_consistency_pD4,guide_t_pD4,guide_p_pD4,guide_FDR_pD4,avg_lfc_pD15,avg_neglogp_pD15,n_guides_pD15,guide_mean_lfc_pD15,guide_sd_pD15,guide_consistency_pD15,guide_t_pD15,guide_p_pD15,guide_FDR_pD15,avg_lfc_sD4,avg_neglogp_sD4,n_guides_sD4,guide_mean_lfc_sD4,guide_sd_sD4,guide_consistency_sD4,guide_t_sD4,guide_p_sD4,guide_FDR_sD4,avg_lfc_sD15,avg_neglogp_sD15,n_guides_sD15,guide_mean_lfc_sD15,guide_sd_sD15,guide_consistency_sD15,guide_t_sD15,guide_p_sD15,guide_FDR_sD15,in_secondary_library,sig_pD4,sig_pD15,sig_sD4,sig_sD15,primary_sign_agree,secondary_sign_agree,cross_library_agree,n_sig_timepoints,max_abs_lfc,screen_direction,effect_class,frac_multimapping_guides,multimapping_artifact,d4_concordant,crispr_tier,CRISPR_CAUSAL
Mtf2,0.78795831925,4.25117240212,4.0,0.7875,0.20467453839368163,1.0,7.695143774896725,0.004560665056520088,0.14774581079545757,1.082667538,0.635549701025,4.0,1.0825,0.4323867867238005,1.0,5.0070910270043845,0.015332750201473766,0.15130623550983527,0.265513868,2.997382788,10.0,0.266,0.16714597745018508,1.0,5.032522292410439,0.0007069372200727283,0.0011149680987724239,0.270814921,0.764821057,10.0,0.27,0.42339894504670966,0.7,2.0165732065092157,0.07453319095215921,0.12079517154315458,True,False,False,True,False,True,True,True,1,1.082667538,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Sec24b,-0.0977895245,0.533769817616,4.0,-0.09749999999999999,0.31794915736115215,0.75,-0.6133056040104656,0.5830409887355564,0.8719142445792044,1.0794397725,0.75939058826,4.0,1.08,0.12138094304022082,1.0,17.79521517874731,0.00038694187761920996,0.031435278119762176,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.0794397725,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Mtpn,0.16991271075,0.83988491217,4.0,0.17,0.3209361307176243,0.75,1.0594008198445848,0.36716215152174164,0.770650421612513,1.07603322975,0.740423771327,4.0,1.0750000000000002,0.15286159317064135,1.0,14.065011069195961,0.0007784006629222996,0.04661507969957542,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.07603322975,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Tm2d1,-0.294661841,0.997265994914,4.0,-0.295,0.3368976105584603,0.75,-1.7512739227267984,0.17819628013206484,0.6228104104665798,1.0740104065,0.773314620266,4.0,1.0725000000000002,0.08732124598286488,1.0,24.564468542064958,0.00014789846074062714,0.017415459197323284,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.0740104065,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Usf3,0.070468904,0.592631204105,4.0,0.07250000000000001,0.23991317874042128,0.75,0.6043853062231549,0.5882353533163756,0.872718098731963,1.07192927275,0.735927574446,4.0,1.0725,0.16007810593582122,1.0,13.3997087700424,0.00089855562857516,0.04954220499913363,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.07192927275,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Chd8,-1.02856276725,4.34971043346,4.0,-1.03,0.32352228156135804,1.0,-6.3674130574815075,0.00783977439019203,0.1925409988111159,-0.605319595,1.34542779087,4.0,-0.6050000000000001,1.8066635916332994,0.5,-0.6697428373514239,0.5509609624463112,0.720324779240403,-0.558074225,1.616236835,10.0,-0.557,0.2275009157490727,1.0,-7.742336556818747,2.8724225095361704e-05,6.308591492906542e-05,-0.414839934,1.534117057,10.0,-0.41400000000000003,0.5885046964789472,0.7,-2.2245921895655476,0.05316406722303937,0.09030543342286869,True,False,False,True,False,True,True,True,1,1.02856276725,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Cdyl,0.92898523375,5.36531126591,4.0,0.9275,0.16317168872080723,1.0,11.36839371181586,0.0014601805155967683,0.07881982181594846,1.02443574625,0.531489366926,4.0,1.025,0.9174784284475939,0.75,2.234384958204056,0.11154129923371083,0.3139586483417543,0.605536575,5.046504718,10.0,0.604,0.2169075583950197,1.0,8.80566689733923,1.0203711566333773e-05,2.497783560508788e-05,0.149688876,0.613335001,10.0,0.14900000000000002,0.6834625894012862,0.7,0.6894003836813396,0.5079542866417524,0.5909369176277812,True,True,False,True,False,True,True,True,2,1.02443574625,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Slco2b1,0.0368190325,0.529105747685,4.0,0.03499999999999999,0.22781571499789036,0.5,0.30726589691430284,0.7787358503552372,0.9383667661444158,1.01773369325,0.717195578527,4.0,1.0150000000000001,0.1429452109492771,1.0,14.201245263965708,0.0007564721575717957,0.04582480912349884,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.01773369325,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
P4hb,-0.22914924475,0.86865171147,4.0,-0.22749999999999998,0.4765413588206869,0.75,-0.9547964548680601,0.41011926674116944,0.7981522591360177,1.013947344,0.749326726465,4.0,1.015,0.07593857166596352,1.0,26.732133031544333,0.00011486464187074306,0.014330731509587942,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,1.013947344,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Eif4e2,-1.0090154175,4.25115821482,4.0,-1.01,0.29944392908634276,1.0,-6.745837212874487,0.006653198306035977,0.1792006228703597,-0.47989794425,1.32474709095,4.0,-0.48,0.7627581530209953,0.75,-1.2585902834309992,0.29721209246189184,0.5115845822453193,-0.519868954,1.622428138,10.0,-0.518,0.15418603481941331,1.0,-10.623918241919629,2.1573951095651487e-06,6.58425780191961e-06,-0.397015306,1.725482836,9.0,-0.39777777777777773,0.29465139477770075,0.8888888888888888,-4.049983656902903,0.003684294692620517,0.008925868585214655,True,False,False,True,True,True,True,True,2,1.0090154175,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Gm14496,0.01480295375,0.522317530045,4.0,0.017499999999999995,0.18697147732564273,0.5,0.18719432771578054,0.8634528929754106,0.9634717845075548,1.0004375095,0.734097262694,4.0,1.0,0.11343133018115703,1.0,17.631812981527002,0.00039771634605736316,0.0316577463800996,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,1.0004375095,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Runx2,-0.97792983875,4.43417542419,4.0,-0.9775,0.09105858919765161,1.0,-21.469693493235226,0.00022111170725765058,0.024264405152462597,-0.64033931225,1.61051776717,4.0,-0.645,0.43950729990145404,1.0,-2.935104832819029,0.06074967141871657,0.24545458812959206,-0.924133274,3.841097804,9.0,-0.9233333333333332,0.15305227865013968,1.0,-18.098391114658988,8.919985736384336e-08,7.486416600179711e-07,-0.611583369,2.313723189,9.0,-0.6122222222222222,0.27702787665584205,1.0,-6.6298983656016635,0.00016419741447927614,0.0006652826276315498,True,True,False,True,True,True,True,True,3,0.97792983875,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Gcn1,-0.9718514215,4.06859827671,4.0,-0.9724999999999999,0.27932955446926844,1.0,-6.963101357804897,0.006077440820200958,0.17260590730543643,0.39203107625,0.62723928784,4.0,0.395,0.7896623751114565,0.75,1.0004275560026472,0.3908254637635244,0.5936951417321765,-0.73720031,2.660473598,10.0,-0.738,0.0729992389610254,1.0,-31.969660867975193,1.4081576246894695e-10,1.9363834628547092e-08,-0.208586805,1.196108871,10.0,-0.20800000000000002,0.39293199864042067,0.7,-1.673963320856812,0.12846302933574458,0.18986674147106905,True,False,False,True,False,False,True,False,1,0.9718514215,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Cbfb,-0.7180693985,3.00001673166,4.0,-0.7174999999999999,0.1284198842339716,1.0,-11.174281993476455,0.0015361381405607903,0.08089812921144263,0.0912815025,0.798293184631,4.0,0.0875,0.8800520817921327,0.5,0.19885186754360157,0.8550923869733208,0.9186934865147933,-0.958885549,4.053965703,8.0,-0.95875,0.11945561040463049,1.0,-22.700938839665362,8.151478386163202e-08,7.094805262030934e-07,-0.096127108,0.823433832,10.0,-0.09600000000000003,0.7764477516942858,0.6,-0.39098400982387527,0.7049035503446468,0.7740763286494954,True,True,False,True,False,False,True,False,2,0.958885549,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Ckap2,0.00787426625,0.583527031351,4.0,0.009999999999999995,0.3634097778908359,0.75,0.05503429246201449,0.9595712103926773,0.9895384697243517,0.9547292925,0.545127264359,4.0,0.9550000000000001,0.8066597795849252,1.0,2.3677888105228324,0.09870124414561712,0.29888090444199233,-0.07848306,1.034747493,10.0,-0.079,0.11189777080492315,0.6,-2.2325729400706766,0.05247587562556806,0.061659153860042476,-0.463462848,1.911050587,8.0,-0.4625,0.1807721533549109,1.0,-7.236443893141108,0.00017193419751066884,0.0006848226511018166,True,False,False,False,True,True,True,False,1,0.9547292925,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Rc3h1,0.022587551,0.622061163115,4.0,0.020000000000000004,0.49564772436345017,0.75,0.08070247886514795,0.940760882538568,0.9849816723117233,0.95320099075,0.605011504759,4.0,0.9525,1.290616777617069,0.75,1.476038459315009,0.23641487141999373,0.453611836778018,-0.149998326,0.982752469,10.0,-0.14999999999999997,0.1115546702045434,1.0,-4.252100321353805,0.002135851645699836,0.0030983033132065516,-0.208134252,1.25493088,8.0,-0.20875,0.23067834748844548,0.75,-2.5595560602858125,0.03757593736531112,0.06740721588433674,True,False,False,True,True,True,True,False,2,0.95320099075,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Btf3l4,-0.144745919,0.603180471336,4.0,-0.14500000000000002,0.33110924682547505,0.5,-0.8758438575194992,0.4455865260070894,0.8165697465264202,0.9081962005,0.59685772896,4.0,0.9099999999999999,0.3355592347112504,1.0,5.423781591247562,0.01229744258204221,0.14179900926160718,-0.198764087,1.007176884,9.0,-0.19888888888888887,0.09636447016982509,1.0,-6.191770323804495,0.0002617660508378316,0.00044901475873642646,-0.005734698,0.792014025,10.0,-0.005999999999999994,0.5418322823736348,0.5,-0.03501759968581286,0.9728300674316499,0.9797988199530295,True,False,False,True,False,False,True,False,1,0.9081962005,-1.0,KO_blocks_maturation,1.0,True,False,A_secondary_validated,True
Sox9,-0.907929324,3.45018691321,4.0,-0.9099999999999999,0.5252301083017487,1.0,-3.465147887056003,0.04048857641845358,0.38421125462447586,-0.822598798,1.63253272945,4.0,-0.825,1.2160180919706745,0.5,-1.3568877066014833,0.26788738063354556,0.48458785691543244,-0.530081113,1.688317926,10.0,-0.529,0.12758004023618533,1.0,-13.112120666619811,3.6068703875422443e-07,1.7594989388490072e-06,-0.791930771,2.890971482,9.0,-0.7911111111111111,0.2730130237023705,1.0,-8.693113980967663,2.3897833665136176e-05,0.00015178353814343246,True,False,False,True,True,True,True,True,2,0.907929324,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Ralgapb,0.79819842425,4.05031300873,4.0,0.7975000000000001,0.30247589435633826,1.0,5.273147479716106,0.013295612540600112,0.24164929089396248,0.88993637325,0.532286880739,4.0,0.8925,1.424508687232198,0.75,1.253063611334117,0.29895741284918537,0.513197712350342,0.431340759,4.229583795,9.0,0.43,0.09643650760992957,1.0,13.376676862022483,9.333060860432098e-07,3.323135306365974e-06,0.178898157,0.839332305,10.0,0.179,0.290266161383728,0.6,1.9500988281642386,0.08295355026433678,0.1326128184497901,True,False,False,True,False,True,True,True,1,0.88993637325,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Mast3,0.160026062,0.849546779827,4.0,0.16,0.4907816894166557,0.75,0.65202106537502,0.5608875027913193,0.8644901874039307,0.8553359985,0.803344786104,4.0,0.855,1.809907916626331,0.75,0.9447994476909304,0.41446299189539665,0.6115553896605079,-0.111873545,1.003629909,7.0,-0.11142857142857142,0.023401261667248794,1.0,-12.59813650816107,1.5315930241812682e-05,3.528670202770569e-05,-0.261090535,1.173120177,10.0,-0.261,0.5667539148519399,0.7,-1.4562836668178365,0.17929622687516847,0.24355267812522882,True,False,False,True,False,True,True,False,1,0.8553359985,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Washc1,-0.834425253,3.27866046474,4.0,-0.8325,0.30434355587066403,1.0,-5.470791044800601,0.012006087319043766,0.23304756996452206,-0.3995372275,1.1559742305,4.0,-0.3999999999999999,1.9933556297526709,0.5,-0.40133330353062047,0.7150520738044901,0.8305159850904418,-0.584818454,1.717192655,9.0,-0.5855555555555555,0.13068197189275108,1.0,-13.442303029436525,8.988202752841262e-07,3.2495809952579948e-06,-0.56001314,1.982482853,10.0,-0.5599999999999999,0.5126185499743233,0.9,-3.4545677088411924,0.0072224513119050066,0.016012038285827136,True,False,False,True,True,True,True,True,2,0.834425253,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Vps37c,-0.119649552,0.574268860109,4.0,-0.1175,0.21546461426415242,0.5,-1.090666329608526,0.3551842397879583,0.7632955813504856,0.82759910925,0.490195651887,4.0,0.8275,0.8495243767348095,0.75,1.9481489234730114,0.14653871296722182,0.3591500729411798,-0.119806909,1.048211282,10.0,-0.119,0.08006247560499238,0.8,-4.700217407923517,0.0011198275149030142,0.0016978030064658603,-0.217074524,1.191307062,10.0,-0.217,0.4440232726633444,0.5,-1.545446589185476,0.15663866673048718,0.22041968072852985,True,False,False,True,False,False,True,False,1,0.82759910925,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Mtmr3,-0.8124706635,3.18130501312,4.0,-0.8125,0.30015273889582733,1.0,-5.4139102844035065,0.012359793974023075,0.23615431330494405,0.4966295125,0.555593011049,4.0,0.49750000000000005,1.7431652245269236,0.75,0.5708007399413515,0.6080899583901291,0.7608384388644405,-0.292319287,1.067337035,10.0,-0.292,0.16504544828622206,1.0,-5.594732156247236,0.0003365351617497707,0.0005648983072228294,-0.277574112,1.164819276,10.0,-0.277,0.5745732716063675,0.6,-1.5245242950784934,0.16171525144208854,0.2231616583149624,True,False,False,True,False,False,True,False,1,0.8124706635,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Kdm2a,-0.71460918875,2.70928586353,4.0,-0.715,0.28337254630609504,1.0,-5.046360413670187,0.015007607462968451,0.2549104152543102,0.3011735225,0.68478913352,4.0,0.3025,1.1088244525923239,0.5,0.5456228879022001,0.6232789444585665,0.7710671955485482,-0.465184927,1.562012267,9.0,-0.46444444444444444,0.06002314368456371,1.0,-23.21326821293534,1.2597487463722568e-08,2.1145782528391453e-07,-0.801268109,2.840425467,9.0,-0.8011111111111111,0.31931349973202056,1.0,-7.5265635037362895,6.755905202306895e-05,0.00033075785886294175,True,False,False,True,True,False,True,False,2,0.801268109,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Crot,-0.1528965165,0.623680261163,4.0,-0.1525,0.23514180118955172,0.75,-1.2970896644367134,0.2853442876820464,0.713701225514999,0.795733219,0.685214503416,4.0,0.7975,0.04573474244670748,1.0,34.875018742230324,5.183742634126306e-05,0.008108301911290102,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,0.795733219,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Uhrf1bp1l,0.02075701925,0.596355098423,4.0,0.020000000000000018,0.3619392214170772,0.25,0.11051579279910761,0.918978962602671,0.980044726577388,0.79541409025,0.467393538022,4.0,0.795,1.4266627725803553,0.75,1.1144890233059228,0.3463156367525063,0.5558525194536232,-0.124152277,1.061683841,10.0,-0.123,0.07645623294117725,0.9,-5.087357004627249,0.0006562702766579074,0.001049139557922505,-0.131930788,1.32355926,10.0,-0.13199999999999998,0.20991003363875255,0.9,-1.9885693118442902,0.07797610398145849,0.1255094824359092,True,False,False,True,False,True,True,False,1,0.79541409025,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Commd6,-0.794675933,2.99748216999,4.0,-0.7949999999999999,0.36207733980463347,1.0,-4.391327004495554,0.021878373954672643,0.3046981515547765,-0.39965275375,1.18363563355,4.0,-0.40249999999999997,1.4139395319461154,0.5,-0.5693312774783343,0.6089693324347776,0.7615750124005333,-0.552475947,1.712013199,10.0,-0.552,0.15929009176133124,1.0,-10.958479897345983,1.6620897179638204e-06,5.278257888128349e-06,-0.214503773,1.108206487,10.0,-0.21499999999999994,0.5216054277154545,0.6,-1.3034559473700373,0.22477428753649828,0.30012475892657436,True,False,False,True,False,True,True,True,1,0.794675933,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Brd4,-0.7889378325,2.67680720123,4.0,-0.7875000000000001,0.592754867827615,1.0,-2.657084885312223,0.07652894309150599,0.4781063031886633,-0.3324855995,1.12141178874,4.0,-0.32999999999999996,1.490749252333649,0.5,-0.4427303914235225,0.6879378113277678,0.8127600769646588,-0.657451953,1.789720424,8.0,-0.66,0.1519398377178095,1.0,-12.286191234451179,5.427244702938513e-06,1.4330365226860118e-05,-0.333001973,1.496544964,10.0,-0.3350000000000001,0.4769404807963172,0.8,-2.221163979177562,0.053462387342169806,0.09030543342286869,True,False,False,True,True,True,True,True,2,0.7889378325,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
NO_SITE_11,0.070825039,0.577756124624,4.0,0.07250000000000001,0.2642442052344763,0.5,0.5487348336412325,0.6213876779110549,0.8870920670900224,0.78652459025,0.480444984148,4.0,0.7849999999999999,0.5671860364994892,1.0,2.7680512194721736,0.06968179092482701,0.25872990926206807,0.041758724,1.580465212,8.0,0.04125,0.044860896112315904,0.625,2.6007643405890324,0.03538576950835201,0.04199826179021577,0.422001372,1.023443043,8.0,0.42125,0.26226690330925967,1.0,4.542986214674485,0.0026582159272586056,0.006940897143397471,True,False,False,False,True,True,True,True,1,0.78652459025,1.0,KO_promotes_maturation,0.0,False,False,A_secondary_validated,True
Agrp,-0.25856007075,0.944850795757,4.0,-0.26,0.18055470085267789,1.0,-2.8800136332328994,0.06352831702658027,0.44968793614148783,0.7740496125,0.666961293429,4.0,0.7749999999999999,0.09574271077563379,1.0,16.1892220038799,0.0005126954085740734,0.03613844284676268,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,0.7740496125,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Preb,-0.37018627025,1.25181293494,4.0,-0.37,0.4143267631552018,0.75,-1.7860299304942677,0.1720728406754115,0.6165762276259152,0.76871777475,0.673126703019,4.0,0.7675,0.08808140174482539,1.0,17.42706144081294,0.0004117883735149577,0.0316577463800996,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,0.76871777475,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
Sox6,0.7680452235,3.93997097728,4.0,0.77,0.27507574714370336,1.0,5.598457937462159,0.011259088770009753,0.22661160651185916,0.51300376725,0.59444727559,4.0,0.51,0.7205553413860729,0.75,1.4155748232160907,0.25185553246323383,0.4676380138650621,0.574799233,4.459649767,8.0,0.57375,0.11855529150087374,1.0,13.688212835368606,2.6168049400238556e-06,7.784166593741849e-06,0.542930525,1.083645165,10.0,0.5439999999999999,0.4656226416793372,0.9,3.6945777398778468,0.004962061685216361,0.01166084496025845,True,False,False,True,True,True,True,True,2,0.7680452235,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Commd5,-0.74578702275,3.01860921869,4.0,-0.7475,0.20139099615755748,1.0,-7.4233706000957085,0.005058236472277176,0.15522787182859388,-0.1833491455,0.979527075527,4.0,-0.18500000000000005,1.176251106977871,0.5,-0.3145586837751312,0.7737043714870226,0.8687439666988801,-0.530116759,1.640161782,10.0,-0.531,0.15538125155028623,1.0,-10.806769933925894,1.8691395273330368e-06,5.856637185643515e-06,-0.496531804,1.778267523,10.0,-0.4960000000000001,0.48369411821935565,0.8,-3.242730602591709,0.010114350062674254,0.021607929679349543,True,False,False,True,True,True,True,True,2,0.74578702275,-1.0,KO_blocks_maturation,0.0,False,True,A_secondary_validated,True
Ankrd11,-0.5772286415,1.97925320932,4.0,-0.5774999999999999,0.3564991818597438,1.0,-3.2398391322379174,0.04785678848215716,0.41121500860898136,0.744668894,0.472533691996,4.0,0.745,0.6392964883369844,1.0,2.3306869772990133,0.10208385618960918,0.3021993454807344,-0.618735497,1.927451364,9.0,-0.6177777777777779,0.07562700869692285,1.0,-24.506236135302057,8.209438893143144e-09,1.6076817832405327e-07,-0.493391232,2.039461593,9.0,-0.4922222222222223,0.2601335127284534,1.0,-5.676572200092191,0.0004668378665660428,0.0015237069255975007,True,False,False,True,True,False,True,False,2,0.744668894,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Hoxa11,0.449471125,2.0126546394,4.0,0.44999999999999996,0.2684523545560118,1.0,3.3525502187846064,0.043975546721473836,0.398154410057059,0.73906003275,0.411541410979,4.0,0.74,1.147112316500292,0.75,1.2901962420866597,0.28743233815698527,0.5033067508580127,0.159598225,2.490560106,10.0,0.16,0.09786612170602133,1.0,5.169965017585965,0.0005871914240890603,0.0009516550666270979,0.400019645,0.791819964,10.0,0.399,0.5654192151748019,0.8,2.2315279575652696,0.0525654880600576,0.09016707805922289,True,False,False,True,True,True,True,True,2,0.73906003275,1.0,KO_promotes_maturation,0.5,False,True,A_secondary_validated,True
Pdpr,0.0153107725,0.490523317888,4.0,0.014999999999999986,0.28629821282478635,0.5,0.10478584446616815,0.9231587156037799,0.9811077314194924,0.72626838275,0.444408066776,4.0,0.725,1.3611147392241896,0.75,1.0653032828271871,0.36487116910792616,0.5714061345264594,-0.18492222,1.107376625,10.0,-0.18500000000000003,0.08501633829904566,1.0,-6.881281631694521,7.216199100360925e-05,0.00014131723238206814,-0.081792748,0.97355212,10.0,-0.08400000000000002,0.393875332786629,0.5,-0.6744045674930405,0.517000788169632,0.5984984493589336,True,False,False,True,False,True,True,False,1,0.72626838275,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Nedd4,-0.71536770025,2.85039098412,4.0,-0.715,0.2055075018906447,1.0,-6.9583834499673705,0.0060892314818744905,0.17269554605923482,0.58255024125,0.52156858364,4.0,0.5825,0.721312461189093,0.75,1.615111429074,0.2046986759590189,0.42129656795964604,-0.470824844,1.430664839,10.0,-0.46900000000000014,0.18333030300525877,1.0,-8.089814931339681,2.024374399837241e-05,4.574307538093766e-05,-0.026229669,0.838592697,10.0,-0.027000000000000003,0.4820569353187327,0.5,-0.1771191130526783,0.8633367730769295,0.9138925300589118,True,False,False,True,False,False,True,False,1,0.71536770025,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Tfap4,-0.68175369925,2.5315412729,4.0,-0.6825,0.37845078940332516,1.0,-3.6068097576228935,0.03658587813298099,0.3689319975141826,0.602459203,0.518722486416,4.0,0.6,1.0373363324720997,0.75,1.156808994764748,0.3310993710422172,0.5426000606346493,-0.627256693,1.973011955,10.0,-0.626,0.1547901805671148,1.0,-12.788833296871086,4.468753571416474e-07,2.019532864005522e-06,-0.706991119,2.193352858,9.0,-0.7077777777777777,0.6044993337005795,0.8888888888888888,-3.5125486745119594,0.007931931521359976,0.017420597266538263,True,False,False,True,True,False,True,False,2,0.706991119,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Dcp2,0.6153589335,3.13728878205,4.0,0.615,0.19467922333931784,1.0,6.318085612331424,0.008014404609727799,0.19357522224468826,0.64691545925,0.504599638654,4.0,0.6475,0.7138802420574476,0.75,1.8140297541611865,0.1673153011993834,0.3820599970736547,0.044883798,1.737650331,9.0,0.04555555555555556,0.04475240527365851,0.7777777777777778,3.0538395831678207,0.015729038527629767,0.019557270126947066,0.367459812,0.998155232,10.0,0.368,0.3036372104264488,0.8,3.8325940924946527,0.004011753378738389,0.009522848929328498,True,False,False,True,True,True,True,True,2,0.64691545925,1.0,KO_promotes_maturation,0.0,False,True,A_secondary_validated,True
Gpr162,0.14877404375,0.830427870356,4.0,0.15000000000000002,0.1710750322714179,0.75,1.7536165039211402,0.17777578871859134,0.6222746378660111,0.62831580025,0.721204435081,4.0,0.6275,0.09215023964519391,1.0,13.619063876905008,0.0008563735961783436,0.048433988202820515,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,0.62831580025,1.0,KO_promotes_maturation,0.25,False,False,B_primary_reproducible,True
Setd5,-0.57026133075,2.27214008983,4.0,-0.5724999999999999,0.13865424623862047,1.0,-8.257951206409386,0.0037186853397606894,0.12904576940626497,0.48437940525,0.568003021901,4.0,0.48500000000000004,1.3592767684814353,0.5,0.713614785812657,0.5269721921028033,0.7029873438438619,-0.606642195,1.870014403,10.0,-0.605,0.14554495296413864,1.0,-13.144928391115455,3.530237504688027e-07,1.7594989388490072e-06,-0.572669139,2.401447519,9.0,-0.5711111111111111,0.1834015024777908,1.0,-9.341980900842461,1.4076044924784689e-05,0.00010225787020028362,True,False,False,True,True,False,True,False,2,0.606642195,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Snx7,0.09831057875,0.903801349744,4.0,0.0975,0.6109214352107806,0.75,0.31918997887628703,0.770516829028562,0.9376706548026524,0.60449005925,0.734865041993,4.0,0.6025,0.08995369179009087,1.0,13.395781496238053,0.0008993357451373966,0.04954220499913363,,,,,,,,,,,,,,,,,,,False,False,True,False,False,True,False,False,1,0.60449005925,1.0,KO_promotes_maturation,0.0,False,False,B_primary_reproducible,True
ONE_INTERGENIC_SITE_3,-0.0290776715,0.486701986435,4.0,-0.0325,0.15966109941581472,0.5,-0.4071123162613124,0.7112314174228539,0.9180663605485083,0.5925287445,0.46147380472,4.0,0.5925,1.297083266409678,0.75,0.9135882257428822,0.42829768008667946,0.6230979436106113,-0.113238319,0.876307781,8.0,-0.1125,0.09895886591335383,0.875,-3.2154577419324255,0.014745997688710733,0.018432497110888416,-0.287226956,1.280697572,8.0,-0.28625,0.3406689847092881,0.625,-2.376609849439349,0.049126374553026333,0.08488748544089109,True,False,False,True,False,False,True,False,1,0.5925287445,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
Pitrm1,-0.069116642,0.449246560545,4.0,-0.06750000000000002,0.36151302420060427,0.5,-0.37343052936617926,0.733655273456009,0.9260672979640537,0.583658833,0.483829816999,4.0,0.585,1.028575066131134,0.75,1.137495977226844,0.33795887542661895,0.548819867431776,-0.128382615,1.015559428,10.0,-0.129,0.09666091936937769,1.0,-4.220255929936405,0.002238602736188197,0.003166419724316505,-0.083330825,1.076080855,10.0,-0.08299999999999999,0.3072114725867003,0.6,-0.8543595184906457,0.4150677121950344,0.4941730408817483,True,False,False,True,False,False,True,False,1,0.583658833,-1.0,KO_blocks_maturation,0.0,False,False,A_secondary_validated,True
4930453N24Rik,-0.10602046925,0.533298861596,4.0,-0.10500000000000001,0.23014488190413157,0.5,-0.91246869477409,0.4288016559944607,0.8086811867593932,0.536045808,0.776048824652,4.0,0.535,0.0776745346515403,1.0,13.775428521074272,0.0008278985789508493,0.047729555773717416,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,1,0.536045808,1.0,KO_promotes_maturation,0.5,False,False,B_primary_reproducible,True
