chondro_cluster	zs_resting	zs_proliferative	zs_prehypertrophic	zs_hypertrophic	zs_resting_z	zs_proliferative_z	zs_prehypertrophic_z	zs_hypertrophic_z	zone	n_cells
0	0.24000665662453713	-0.3795389261180078	-0.6000936741262692	-0.8171563925283325	0.6832546546739948	0.020836600930900367	-0.5429739012064119	-1.0407722356709426	resting	1719
1	0.1366633600821263	-0.20522809828922847	-0.4928706169454049	-0.3515497255759492	0.2477497433060651	0.9952625412755951	-0.3163732584307151	-0.6170648739166809	proliferative	2526
2	0.045554404574878436	-0.4321540110811745	-0.6169942279021765	-0.758646961536604	-0.1361977300235194	-0.27329030030733087	-0.5786908118185193	-0.9875279881056824	resting	97
3	-0.031928325854900075	0.10374803803450332	-0.6454959072049399	-0.07432218412987719	-0.46272214696543207	2.7224895066426567	-0.6389250470660625	-0.36478465859977227	proliferative	2128
4	-0.07730711546761018	-0.07543827474287093	-0.6050164849916075	0.11707034889279608	-0.6539555061621447	1.7208088107280006	-0.5533775600432159	-0.19061527705439227	proliferative	351
5	-0.19112729760496103	-0.4420102123833365	-0.4823949530930258	-0.37613884303214334	-1.133611661830316	-0.3283880721538375	-0.2942344365684816	-0.6394412504265456	prehypertrophic	768
6	-0.16864549541568782	-0.26943299697901607	-0.6833426268254784	-0.3620427823928806	-1.0388698101823701	0.6363466921581441	-0.718908692547271	-0.6266136749459716	proliferative	1687
7	-0.10332175432381874	-0.5160314495401048	0.8375740538809181	3.661636382667399	-0.7635852873709561	-0.742178853371463	2.4953318497178794	3.0349801220939554	hypertrophic	1810
8	0.8945944345750361	-0.5222873092227512	-0.5759504858988982	-0.28296527906564567	3.4417905419230554	-0.7771501287067796	-0.49195071538408786	-0.5546522476575538	resting	1170
9	0.10636413508141287	-0.2981814158168456	-0.17238115365927978	-0.2845858834229215	0.12006404195980122	0.4756383448431296	0.36093552470697343	-0.5561270160520084	proliferative	2222
10	0.06595172311675566	-0.3744673767629255	-0.32283350653337956	1.3230915526331666	-0.05024022043238552	0.049187388491756	0.042975929403890396	0.9068777330892756	hypertrophic	1298
11	0.08109420527128083	-0.45691929965735045	-0.6646929342822984	-0.6550404196868591	0.013572581841544135	-0.4117323002067983	-0.6794952265543621	-0.8932448568202636	resting	4401
12	-0.10347652907037261	-0.5835956241044858	0.2937878888113194	1.9074648580716091	-0.7642375325047492	-1.1198736021921114	1.346117326488512	1.438664086466947	hypertrophic	2385
13	-0.004849242632311235	-0.5399985541590028	-0.5314474445533302	1.116980907096281	-0.3486066297200672	-0.8761588748452264	-0.3978998830396166	0.7193147017832124	hypertrophic	2910
14	-0.05487074965748217	-0.3262876015629489	0.8282856789205421	0.09658370011853791	-0.5594051305647465	0.3185201851952893	2.4757021936373538	-0.20925836041087445	prehypertrophic	1497
15	0.1591469559110801	-0.4305846694902824	-0.5127762883623947	0.08026470727559389	0.3424991536338311	-0.2645174250105123	-0.35844105668760634	-0.2241088294757378	resting	1492
16	0.29595568701349256	-0.5744935666845086	-0.6053387868976222	0.48103918133157025	0.9190326715932065	-1.0689916175729757	-0.5540586991656302	0.14060049947825642	resting	1157
17	0.11191784914404426	-0.5758919656801239	-0.6250585162787733	1.0559480702833648	0.1434682668251897	-1.0768088958984394	-0.5957335354426274	0.6637741262247792	hypertrophic	3159
